indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2
gross domestic product,IPBES_GA_1_19_6;IPBES_GA_2_20_26;IPBES_GA_2_24_29;IPBES_GA_6_139_289;IPBES_SUA_1_11_4;IPBES_SUA_4_149_137;IPBES_VA_2_10_12;IPBES_VA_2_38_29;IPBES_VA_5_78_136;IPBES_VA_6_61_155;IPBES_IAS_2_5_11;IPBES_IAS_3_8_84;IPBES_IAS_3_34_90;IPBES_IAS_6_85_153;IPBES_GA2.1_sup_1;IPBES_GA2.1_sup_29,IPBES,0,Human assets,NA,State of economy,NA
gross ecosystem product,IPBES_VA_4_89_124,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
gross national happiness index,IPBES_GA_1_19_6;IPBES_GA_5_69_253;IPBES_GA_6_140_290;IPBES_SUA_1_12_5;IPBES_VA_2_29_20;IPBES_IAS_6_85_153,IPBES,0,Human well-being,NA,Wellness,NA
gross national happiness index of bhutan,IPBES_VA_6_21_143,IPBES,0,Human well-being,NA,Wellness,NA
gross national product,IPBES_IAS_6_85_153,IPBES,0,Human assets,NA,State of economy,NA
ground subsidence,IPCC_2_63_102,IPCC,0,ecosystems,NA,Abiotic conditions,NA
grounding line retreat,IPCC_9_55_443,IPCC,0,ecosystems,NA,Change in ecosystems,NA
growing degree days,IPCC_12_46_648,IPCC,0,ecosystems,NA,Abiotic conditions,NA
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",IPCC_sup_16,IPCC,0,ecosystems,NA,Abiotic conditions,NA
growing season of terrestrial biota,IPCC_2_26_47,IPCC,0,ecosystems,NA,State of ecosystems,NA
growth in human appropriation of net primary productivity,IPBES_GA_3_26_355,IPBES,0,Ecosystem services,NA,Nature contribution,NA
growth in information relevant to informing policy on invasive alien species prevention and control,IPBES_IAS_6_11_138;IPBES_IAS_6_119_174,IPBES,0,Direct drivers,Knowledge systems,Invasive alien species,Information on biodiversity
growth in marine species occurrence records accessible through ocean biodiversity information system (obis),GBF_T21_CY_250,GBF,1,Knowledge systems,NA,Information on biodiversity,NA
growth in number of records and species in the living planet index database,GBF_T21_CY_248,GBF,1,Knowledge systems,NA,Information on biodiversity,NA
growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population,SDG_G10.1.1_129;IPBES_SUA_sup_10.1.1_70,SDG;IPBES,1,Human assets,NA,Income,NA
habitat area and quality,IPBES_GA_4_34_176,IPBES,0,ecosystems,NA,State of ecosystems,NA
habitat conditions,IPBES_SUA_4_89_132,IPBES,0,ecosystems,NA,State of ecosystems,NA
habitat distributional range,GBF_T2_CY_115,GBF,1,ecosystems,NA,State of ecosystems,NA
habitat loss,GEO_6_8_49,GEO,0,ecosystems,NA,Change in ecosystems,NA
habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF_T1_CY_107,GBF,1,ecosystems,NA,Area conservation,NA
habitat quality,IPBES_SUA_2_95_77,IPBES,0,Knowledge systems,ecosystems,ILK,State of ecosystems
hadley circulation cell,IPCC_3_37_179,IPCC,0,ecosystems,NA,Abiotic conditions,NA
hadley/walker circulation,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
hallow coral reefs,IPBES_GA_2.2_91_124,IPBES,0,ecosystems,NA,State of ecosystems,NA
happiness,IPBES_VA_3_41_70,IPBES,0,Human well-being,NA,Wellness,NA
happy planet index,IPBES_GA_5_69_253;IPBES_GA_5_108_263,IPBES,0,Human well-being,NA,Wellness,NA
hard coral cover and composition,GBF_GA_CY_12,GBF,1,biodiversity,NA,State of biodiversity,NA
harvest intensity,IPBES_SUA_2_95_77,IPBES,0,Knowledge systems,Ecosystem services,ILK,Nature contribution
hazardous waste,GBF_T7_CY_173;SDG_G12.4.2.a_166;IPBES_SUA_sup_12.4.2.a_93,GBF;SDG;IPBES,1,Direct drivers,NA,Pollution,NA
health associated with intake of pollinator dependent foods,IPBES_GA_2.3_42_143,IPBES,0,Human well-being,Direct drivers,Healthy living conditions,Pollution
health condition and body size of wild animals decrease,IPBES_GA_2.2_5_55,IPBES,0,biodiversity,NA,Change in biodiversity,NA
health of the forest,IPBES_GA_2.3_41_142,IPBES,0,ecosystems,NA,State of ecosystems,NA
health of the soil,IPBES_GA_2.3_40_140,IPBES,0,Knowledge systems,ecosystems,ILK,Abiotic conditions
health worker density and distribution,SDG_G3.c.1_53,SDG,1,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
heat index (hi),IPCC_12_7_581;IPCC_12_27_618;IPCC_12_49_649;IPCC_12_85_724,IPCC,0,ecosystems,NA,Abiotic conditions,NA
heat stress (humidity and temperature),IPCC_12_15_596,IPCC,0,ecosystems,NA,Abiotic conditions,NA
heat stress index,IPCC_12_54_663,IPCC,0,Direct drivers,NA,Climate change,NA
heating degree day index,IPCC_12_56_664,IPCC,0,ecosystems,NA,Abiotic conditions,NA
heating degree days below 15.5°c,IPCC_sup_45,IPCC,0,ecosystems,NA,Abiotic conditions,NA
"hepatitis b incidence per 100,000 population",SDG_G3.3.4_35,SDG,1,Human assets,NA,Coverage of basic needs,NA
"high blood pressure, smoking, low birth weight, high levels of blood sugar",GEO_5_19_45,GEO,0,Human well-being,NA,Healthy living conditions,NA
high body mass index,GEO_5_19_45,GEO,0,biodiversity,NA,State of biodiversity,NA
highest five day precipitation amount (rx5day),IPCC_11_52_540,IPCC,0,ecosystems,NA,Abiotic conditions,NA
highest one day precipitation amount (rx1day),IPCC_11_52_540,IPCC,0,ecosystems,NA,Abiotic conditions,NA
historic land use change since 1970,IPBES_GA_2.3_53_152,IPBES,0,Direct drivers,NA,Land conversion,NA
holistic health model,IPBES_VA_3_63_79,IPBES,0,Human well-being,NA,Wellness,NA
human appropriation of fresh water,IPBES_GA_3_15_329;IPBES_GA3_sup_14,IPBES,0,Ecosystem services,NA,Nature contribution,NA
human appropriation of net primary productivity,GBF_T14_CY_211;IPBES_GA_1_52_19;IPBES_VA_2_38_29;IPBES_GA3_sup_13,GBF;IPBES,1,Ecosystem services,NA,Nature contribution,NA
human development index (hdi),IPBES_GA_1_19_6;IPBES_GA_1_31_9;IPBES_GA_2_24_29;IPBES_GA_2_22_30;IPBES_GA_5_68_252;IPBES_GA_3_77_402;IPBES_GA_3_97_413;IPBES_SUA_1_12_5;IPBES_VA_5_78_136;IPBES_IAS_2_18_24,IPBES,0,Knowledge systems,Human well-being,Information on society and socio-economics,Wellness
human footprint,IPBES_GA_2.2_62_105,IPBES,0,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
human population density,IPBES_IAS_3_8_84,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
human population size,IPBES_IAS_2_5_11,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
humidity,IPCC_12_62_673,IPCC,0,ecosystems,NA,Abiotic conditions,NA
hunting success,IPBES_SUA_2_97_80,IPBES,0,Knowledge systems,Ecosystem services,ILK,Nature contribution
hydrological deficits,IPCC_11_58_544,IPCC,0,ecosystems,NA,Abiotic conditions,NA
ice core measurements,IPCC_5_14_270,IPCC,0,ecosystems,Direct drivers,State of ecosystems,Climate change
ice core records,IPCC_2_58_90,IPCC,0,ecosystems,NA,State of ecosystems,NA
ice cores,IPCC_2_63_105,IPCC,0,ecosystems,Direct drivers,State of ecosystems,Climate change
ideas and products mimicking or inspired by nature,IPBES_GA_2.3_42_143,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
identity value - rural and iplc,IPBES_GA_2.3_42_143,IPBES,0,Human well-being,NA,Wellness,NA
identity value - urban,IPBES_GA_2.3_42_143,IPBES,0,Human well-being,NA,Wellness,NA
illegal trade by cites species classification,GBF_T5_CY_161,GBF,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
impact of agricultural habitat conversion on birds,IPBES_SUA_4_42_113,IPBES,0,Direct drivers,NA,Land conversion,NA
"impact of alien species on sensitive places, species and functions",IPBES_IAS_6_97_160,IPBES,0,Direct drivers,NA,Invasive alien species,NA
impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,GEO_15_19_169,GEO,0,ecosystems,NA,State of ecosystems,NA
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_T5_CY_164,GBF,1,Governance,NA,Nature-based legislation,NA
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG_G12.b.1_173;IPBES_SUA_sup_12.b.1_100,SDG;IPBES,1,Governance,NA,Legislation/governance,NA
importance of forests to people,IPBES_SUA_2_92_69,IPBES,0,Human well-being,Knowledge systems,Healthy living conditions,Specific information on human-nature relationship
improved health from natural medicines or bio-derived medicines,IPBES_GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA
improved water supply and sanitation,GEO_16_18_190,GEO,0,Human well-being,NA,Healthy living conditions,NA
improved/unimproved sources of drinking water,GEO_16_16_184,GEO,0,Human well-being,NA,Healthy living conditions,NA
improvement in conseration status of species threatened by invasive alien species,IPBES_IAS_6_119_174,IPBES,0,Direct drivers,biodiversity,Invasive alien species,Change in biodiversity
including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,GEO_17_12_205,GEO,0,Human well-being,NA,Healthy living conditions,NA
inclusion of historically disadvantaged stakeholders,IPBES_VA_2_10_12,IPBES,0,Human well-being,NA,Equity,NA
inclusive and equitable quality education,GEO_22_21_257,GEO,0,Human assets,Human well-being,Coverage of basic needs,Equity
inclusive societies,GEO_3_5_16,GEO,0,Human well-being,NA,Equity,NA
inclusive wealth,IPBES_GA_1_19_6;IPBES_SUA_1_12_5;IPBES_VA_2_7_9;IPBES_VA_2_39_33;IPBES_VA_3_114_99;IPBES_VA_5_78_136,IPBES,0,Human assets,NA,Income,NA
income,IPBES_GA_2_25_31;IPBES_SUA_4_149_137,IPBES,0,Human assets,NA,Income,NA
increase in global tc maximum surface wind speeds,IPCC_11_79_569,IPCC,0,ecosystems,NA,Abiotic conditions,NA
increase in secondary natural forest cover,GBF_T2_CY_117,GBF,1,ecosystems,NA,Change in ecosystems,NA
increase in the global mean sea level,GEO_2_26_7,GEO,0,ecosystems,NA,Change in ecosystems,NA
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",IPBES_GA_2.3_42_143,IPBES,0,Human well-being,Human well-being,Healthy living conditions,Wellness
"increased awareness, care, mental health, cultural security, life satisfaction - urban",IPBES_GA_2.3_42_143,IPBES,0,Human well-being,Human well-being,Healthy living conditions,Wellness
increasingly unpredictable annual distribution of rainfall,IPBES_GA_2.2_6_56,IPBES,0,Direct drivers,NA,Natural drivers,NA
index of coastal eutrophication potential (icep),GBF_T7_H_24;GBF_T7_CY_175;GBF_T8_CY_185;SDG_G14.1.1.a_183;GEO_7_19_66;GEO_20_8_234;IPBES_SUA_sup_14.1.1.a_110,GBF;SDG;IPBES;GEO,1,Direct drivers,ecosystems,Pollution,State of ecosystems (integrity)
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF_GB_CY_85,GBF,1,Governance,Human well-being,Legislation/governance,Cultural diversity
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",GBF_T2_CY_116,GBF,1,ecosystems,biodiversity,State of ecosystems,Species conservation
index of sustainable economic welfare (isew),IPBES_GA_6_139_289;IPBES_VA_2_38_29;IPBES_VA_2_39_33;IPBES_IAS_6_85_153,IPBES,0,Human assets,NA,State of economy,NA
indian ocean basin (iob) index,IPCC_3_78_203,IPCC,0,ecosystems,NA,Abiotic conditions,NA
indian ocean dipole (ipo),IPCC_3_80_205,IPCC,0,ecosystems,NA,Abiotic conditions,NA
indian ocean dipole index (iod),IPCC_3_78_202,IPCC,0,ecosystems,NA,Abiotic conditions,NA
indicator based on task force for naturerelated financial disclosures,GBF_T15_C_57,GBF,1,Human assets,NA,State of economy,NA
indicator of food price anomalies,SDG_G2.c.1_27;IPBES_SUA_sup_2.c.1_25,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA
indicator on biodiversity information for monitoring the global biodiversity framework,GBF_T21_H_49,GBF,1,Knowledge systems,NA,Information on biodiversity,NA
indicator on monetary benefits received,GBF_T13_H_35,GBF,1,Human assets,NA,Income,NA
indicator on national implementation of the gender plan of action 2023-2030,GBF_T23_C_70,GBF,1,Human well-being,NA,Equity,NA
indicator on non-monetary benefits,GBF_T13_H_36,GBF,1,Human assets,NA,Income,NA
indicator(s) related to flows of financing related to different aspects of strategic plan implementation,RAMSAR_OG4.17_62,RAMSAR,1,Governance,NA,Nature-based funding,NA
indicator(s) related to the use of guidance and availability in various language versions,RAMSAR_OG4.14_47,RAMSAR,1,Governance,Human well-being,Nature-based legislation,Cultural diversity
indicator(s) related to whether and how wetland conservation and wise-use issues are included formal education programmes,RAMSAR_OG4.16_59,RAMSAR,1,Knowledge systems,NA,Specific information on human-nature relationship,NA
indicator(s) relating to (numbers of) ramsar sites at risk,RAMSAR_SG2.7_29,RAMSAR,1,ecosystems,NA,Area conservation,NA
indicators related to the relevant sectors especially using or linking to relevant aichi target indicators and other relevant international processes,RAMSAR_SG3.13_42,RAMSAR,1,Governance,NA,National/international cooperation,NA
individual deprivation measure,IPBES_GA_3_97_413,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
"information provided through the financial reporting framework, adopted by decision xii/3",IPBES_GA_1_52_19,IPBES,0,Governance,NA,Legislation/governance,NA
inland fishery production,IPBES_GA_1_52_19;IPBES_GA_1_52_19,IPBES,0,Ecosystem services,NA,Nature contribution,NA
installed renewable energy-generating capacity in developing countries (in watts per capita),SDG_G7.b.1_99;SDG_G12.a.1_172;IPBES_SUA_sup_7.b.1_43;IPBES_SUA_sup_12.a.1_99,SDG;IPBES,1,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems
intact wilderness,GBF_GA_CY_51;GBF_GB_CY_73,GBF,1,ecosystems,NA,State of ecosystems,NA
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",GBF_GC_CY_94;SDG_G15.9.1.b_206;IPBES_SUA_sup_15.9.1.b_132,GBF;SDG;IPBES,1,Governance,NA,Nature-based funding,NA
integration of education for sustainable development (esd) in curricula,GEO_4_9_33,GEO,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
integration of education for sustainable development (esd) in higher education,GEO_4_9_33,GEO,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
intensity of weather,IPBES_SUA_2_97_80,IPBES,0,Knowledge systems,ecosystems,ILK,Abiotic conditions
inter-decadal pacific oscillation (ipo) index,IPCC_2_89_154,IPCC,0,ecosystems,NA,Abiotic conditions,NA
inter-tropical convergence zone (itcz) narrowing,IPCC_8_39_378,IPCC,0,ecosystems,NA,Abiotic conditions,NA
interannual variability of primary production (pp),IPCC_5_57_287,IPCC,0,ecosystems,NA,State of ecosystems,NA
"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",SDG_G7.a.1_98;IPBES_SUA_sup_7.a.1_42,SDG;IPBES,1,Governance,NA,Nature-based funding,NA
international health regulations (ihr) capacity and health emergency preparedness,SDG_G3.d.1_54,SDG,1,Human well-being,NA,Healthy living conditions,NA
international migrant stock,IPBES_GA_2_24_29;IPBES_GA2.1_sup_24,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",GBF_GD_H_10;GBF_T19_H_45,GBF,1,Governance,NA,National/international cooperation,NA
"international tourism, number of arrivals",IPBES_GA2.1_sup_36,IPBES,0,Human well-being,NA,Recreation,NA
"international tourism, number of departures",IPBES_GA2.1_sup_35,IPBES,0,Human well-being,NA,Recreation,NA
interventions to limit spread and reduce impact of alien species,IPBES_IAS_6_97_160,IPBES,0,Direct drivers,NA,Invasive alien species,NA
invasive alien species are given new names by indigenous peoples and local communities,IPBES_IAS_1_53_8,IPBES,0,Knowledge systems,NA,ILK,NA
invasive alien species impact,IPBES_IAS_6_114_165,IPBES,0,Direct drivers,NA,Invasive alien species,NA
invertebrate abundance and biomass,GEO_6_16_56,GEO,0,biodiversity,NA,State of biodiversity,NA
investment costs of groundwater abstraction and desalination for continued water supply and sanitation of rapidly expanding cities,GEO_23_24_263,GEO,0,Governance,Human well-being,Legislation/governance,Healthy living conditions
involvement of stakeholders in various aspects of wetland and/or basin-scale management,RAMSAR_SG3.9_34,RAMSAR,1,ecosystems,Governance,Area conservation,Nature-based legislation
isotope-composition of molecular oxygen trapped in polar firn and ice,IPCC_2_21_41,IPCC,0,ecosystems,NA,Abiotic conditions,NA
iucn green list of protected and conserved areas,GBF_T3_CY_133,GBF,1,ecosystems,NA,Area conservation,NA
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,GBF_GD_CY_99,GBF,1,Knowledge systems,NA,Information on society and socio-economics,NA
kelp canopy extent,GBF_GA_CY_16,GBF,1,biodiversity,NA,State of biodiversity,NA
labour share of gross domestic product,SDG_G10.4.1_132;IPBES_SUA_sup_10.4.1_73,SDG;IPBES,1,Human assets,NA,Income,NA
lake sediments,IPCC_9_66_448,IPCC,0,ecosystems,NA,State of ecosystems,NA
land and ocean carbon sinks,IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
land cover change,GEO_6_18_58,GEO,0,Direct drivers,NA,Land conversion,NA
land monsoon precipitation index,IPCC_4_34_236;IPCC_4_51_250,IPCC,0,ecosystems,NA,Abiotic conditions,NA
land not cultivated or urban,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_11,IPBES,0,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area)
land not cultivated or urban (hotspots),IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_12,IPBES,0,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area)
land not cultivated or urban (indigenous lands),IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_13,IPBES,0,ecosystems,Human assets,State of ecosystems,Infrastructure (build-up area)
land rainfall over mc,IPCC_8_46_393,IPCC,0,ecosystems,NA,Abiotic conditions,NA
land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],GBF_T22_CY_262,GBF,1,ecosystems,Knowledge systems,State of ecosystems,ILK
land under cereal production (ha),IPBES_GA_1_52_19,IPBES,0,Ecosystem services,NA,Nature contribution,NA
land use change,IPBES_GA_2_83_42;GEO_6_8_49,IPBES;GEO,0,Direct drivers,NA,Land conversion,NA
land-use and management,IPCC_3_64_190,IPCC,0,Ecosystem services,ecosystems,Nature contribution,Area conservation
land-use change,GEO_21_10_246,GEO,0,Direct drivers,NA,Land conversion,NA
land-use co2 emissions,IPCC_4_79_266,IPCC,0,Direct drivers,NA,Climate change,NA
land-use models for efficient farming,GEO_17_8_200,GEO,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
land-use related non-co2 emissions,IPCC_4_79_266,IPCC,0,Direct drivers,NA,Climate change,NA
laws allowing building in vulnerable areas,GEO_17_8_200,GEO,0,Governance,NA,Nature detrimental legislation,NA
laws preventing recycling of water,GEO_17_8_200,GEO,0,Governance,Knowledge systems,Nature detrimental legislation,Specific information on human-nature relationship
leaf area index (lai),IPBES_GA_2.2_37_70;IPBES_GA_2.2_40_79;IPCC_1_66_27;IPCC_2_79_128;IPCC_3_64_190;IPCC_3_65_191;IPCC_8_30_372;IPCC_8_65_401;IPCC_9_76_452;IPCC_10_31_483;IPBES_GA2.2_sup_14,IPBES;IPCC,0,biodiversity,NA,State of biodiversity,NA
leaf surface area,IPBES_GA_2.3_56_155,IPBES,0,biodiversity,NA,State of biodiversity,NA
"less biomass, more annuals and shrubs on pastures",IPBES_GA_2.2_65_113,IPBES,0,ecosystems,NA,Change in ecosystems,NA
level of erosion,GBF_GB_CY_71,GBF,1,ecosystems,Direct drivers,State of ecosystems,Natural drivers
"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",SDG_G8.8.2_110;IPBES_SUA_sup_8.8.2_54,SDG;IPBES,1,Human well-being,NA,Equity,NA
level of water stress,GBF_T11_C_53;GEO_16_18_193,GBF;GEO,1,ecosystems,Human well-being,State of ecosystems,Healthy living conditions
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),GBF_GB_CY_66;SDG_G6.4.2_88;GEO_16_18_192;IPBES_SUA_sup_6.4.2_33,GBF;SDG;IPBES;GEO,1,ecosystems,biodiversity,Change in ecosystems,NA
levels of education,GEO_22_21_257,GEO,0,Human assets,NA,Coverage of basic needs,NA
levels of engagement in world migratory bird day and similar events,CMS_G1.1_1,CMS,1,Knowledge systems,NA,Specific information on human-nature relationship,NA
levels of poverty in biodiversity depended communities,GBF_GB_CY_55,GBF,1,Human assets,NA,Income,State of economy
levels of poverty in developing communities,GBF_T16_CY_219,GBF,1,Human assets,NA,Income,State of economy
life cycle impact assessment (lcia),GBF_T16_CY_218,GBF,1,Knowledge systems,NA,Information on society and socio-economics,NA
life expectancy,IPBES_GA_2_25_31;GEO_3_5_16,IPBES;GEO,0,Human well-being,Knowledge systems,Healthy living conditions,Information on society and socio-economics
life satisfaction,IPBES_VA_3_41_70,IPBES,0,Human well-being,NA,Wellness,NA
lightning frequency,IPCC_12_18_602,IPCC,0,ecosystems,NA,Abiotic conditions,NA
linguistic diversity index,GBF_GB_CY_83;IPBES_GA_2_41_36,GBF;IPBES,1,Knowledge systems,Human well-being,Specific information on ILK and IPLC,Cultural diversity
live coral cover,GBF_GA_CY_11;IPBES_GA_2.2_37_70;IPBES_GA_2.2_38_74;IPBES_GA_2.2_91_124;IPBES_GA2.2_sup_17;IPBES_GA3_sup_36,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA
livelihood dependence,IPBES_VA_3_2_52,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
livestock density of animals (chickens),IPBES_GA2.1_sup_33,IPBES,0,biodiversity,Ecosystem services,State of biodiversity,Specific monetary valuation of nature contribution
livestock density of cattle,IPBES_GA2.1_sup_32,IPBES,0,biodiversity,NA,State of biodiversity,Specific monetary valuation of nature contribution
livestock indigenous animals,IPBES_GA2.1_sup_31,IPBES,0,biodiversity,NA,State of biodiversity,Specific monetary valuation of nature contribution
living conditions in the arctic,IPBES_VA_3_63_79,IPBES,0,Human well-being,NA,Healthy living conditions,NA
living planet index,GBF_GA_C_8;GBF_T4_C_25;GBF_T2_CY_129;IPBES_GA_1_52_19;IPBES_GA_4_144_217;IPBES_GA_5_10_235;IPBES_GA_5_34_243;IPBES_GA_3_41_369;IPBES_SUA_4_256_160;GEO_6_16_52;GEO_6_16_54;IPBES_GA2.2_sup_72;IPBES_GA3_sup_49,GBF;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA
living planet index (freshwater),IPBES_GA2.2_sup_70,IPBES,0,biodiversity,NA,State of biodiversity,NA
living planet index (marine),IPBES_GA2.2_sup_71,IPBES,0,biodiversity,NA,State of biodiversity,NA
living planet index (migratory fish),GEO_9_18_79,GEO,0,biodiversity,NA,State of biodiversity,NA
living planet index (migratory species),CMS_G3.8_13,CMS,1,biodiversity,NA,State of biodiversity,NA
living planet index (terrestrial),IPBES_GA2.2_sup_73,IPBES,0,biodiversity,NA,State of biodiversity,NA
living planet index (used species),GBF_GB_C_11;GBF_T5_C_31;GBF_T9_C_46,GBF,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
local species richness,IPBES_GA_2.2_37_70;IPBES_GA_2.2_70_120;IPBES_IAS_4_22_102,IPBES,0,biodiversity,NA,State of biodiversity,NA
local species richness (biotime),IPBES_GA2.2_sup_40,IPBES,0,biodiversity,NA,State of biodiversity,NA
local species richness (predicts),GBF_GA_CY_43;IPBES_GA_2.2_45_85;IPBES_GA2.2_sup_41,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA
local wind circulations,IPCC_12_18_602,IPCC,0,ecosystems,NA,Abiotic conditions,NA
loss of lichen diversity,IPBES_SUA_4_47_115,IPBES,0,biodiversity,NA,Change in biodiversity,NA
loss of mass of mountain glaciers and polar ice sheets,GEO_4_13_34,GEO,0,ecosystems,NA,Change in ecosystems,NA
loss of older ice,IPCC_2_56_85,IPCC,0,ecosystems,NA,Change in ecosystems,NA
loss of phylogenetic diversity,GBF_GA_CY_52;GBF_GB_CY_58,GBF,1,biodiversity,NA,Genetic diversity,NA
low income,GEO_22_21_257,GEO,0,Human assets,NA,Income,NA
low-elevation coastal zones,GEO_17_8_200,GEO,0,ecosystems,NA,State of ecosystems,NA
low-flows days,IPCC_12_17_601,IPCC,0,ecosystems,NA,Abiotic conditions,NA
macroalgal canopy cover and composition,GBF_GA_CY_17,GBF,1,biodiversity,NA,State of biodiversity,NA
macroeconomic dashboard,SDG_G17.13.1_250,SDG,1,Human assets,NA,State of economy,NA
macroinvertebrate-based indices,IPBES_IAS_5_130_134,IPBES,0,biodiversity,NA,State of biodiversity,NA
magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,IPCC_12_20_606,IPCC,0,ecosystems,ecosystems,Abiotic conditions,Change in ecosystems
maintenance and restoration of connectivity of natural ecosystems,GBF_T2_C_16,GBF,1,ecosystems,NA,Restoration efforts,NA
maize price,GEO_8_26_75,GEO,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
"malaria incidence per 1,000 population",SDG_G3.3.3_34,SDG,1,Human assets,Direct drivers,Coverage of basic needs,(Infectious) diseases
malnutrition,GEO_3_12_24,GEO,0,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
mammalian body mass,IPBES_GA2.2_sup_79,IPBES,0,biodiversity,NA,State of biodiversity,NA
mammalian range size,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_66,IPBES,0,biodiversity,NA,State of biodiversity,NA
management effectiveness of areas protected specifically for migratory species,CMS_G3.10_19,CMS,1,ecosystems,NA,Area conservation,NA
mangrove forest area,IPBES_GA_2.2_37_70;IPBES_GA_2.2_38_74;IPBES_GA_2.2_70_120;IPBES_VA_2_76_48;IPBES_GA2.2_sup_15;IPBES_GA3_sup_40,IPBES,0,ecosystems,NA,State of ecosystems (coverage),NA
manufacturing employment as a proportion of total employment,SDG_G9.2.2_120;IPBES_SUA_sup_9.2.2_62,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA
manufacturing value added as a proportion of gross domestic product and per capita,SDG_G9.2.1_119;IPBES_SUA_sup_9.2.1_61,SDG;IPBES,1,Human assets,NA,Infrastructure (build-up area),NA
marine air temperature,GEO_2_26_7,GEO,0,ecosystems,NA,Abiotic conditions,NA
marine cloudiness over mc,IPCC_8_46_393,IPCC,0,ecosystems,NA,Abiotic conditions,NA
marine litter,GEO_7_19_66,GEO,0,Direct drivers,NA,Pollution,NA
marine net primary production,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_31,IPBES,0,Ecosystem services,NA,Nature contribution,NA
marine nutirent pollution,GEO_20_8_234,GEO,0,Direct drivers,NA,Pollution,NA
marine sediment cores,IPCC_2_29_60;IPCC_2_89_153,IPCC,0,ecosystems,NA,State of ecosystems,NA
marine sediments,IPCC_2_57_89;IPCC_2_61_98,IPCC,0,ecosystems,NA,State of ecosystems,NA
marine sediments below the ice sheet,IPCC_2_61_99,IPCC,0,ecosystems,NA,State of ecosystems,NA
marine species richness,GBF_GA_CY_44,GBF,1,biodiversity,NA,State of biodiversity,NA
marine stewardship council certified catch,GBF_T5_CY_156;IPBES_SUA_2_90_65,GBF;IPBES,1,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA
