Goal/target,Indicator name,Availability,Time series,Update frequency,Global indicator,National data,National methodology available,Institution,Other MEAs/Processes,Used in 5NR/6NR,BIP Indicator,Gender,notes_ys
Target 5,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing ",Available,2018 - 2020,Data pending,N,Y,Y,Food and Agriculture Organization (FAO),SDG,6NR 3 out of 20 countries sampled,N,N,
Target 5,Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 5,Illegal trade by CITES species classification,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 5,Number of countries incorporating trade in their national biodiversity policy,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 5,"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures ",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 5,Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 5,Number of MSC Chain of Custody Certification holders by distribution country,Available,2000 - 2020,Quarterly,Y,N,Y,Marine Stewardship Council (MSC),N,N,Y,N,
Target 5,Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),Available,2019,Yearly,Y,Y,Y,United Nations Conference on Trade and Development (UNCTAD),N,N,N,N,
Target 6,Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,Available,2017 - 2019,Data pending,Y,Y,Y,International Union for Conservation of Nature Invasive Species Specialist Group  (IUCN-ISSG),N,N,N,N,
Target 6,"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",Available,Data pending,Yearly,Y,Y,Y,UNEP/MAP; SPA/RAC,N,N,N,N,
Target 6,Red List Index (impacts of invasive alien species),Available,1993 - 2020,Yearly,Y ,N,Y,International Union for Conservation of Nature (IUCN); Birdlife International (BLI),N,N,N,N,
Target 7,Trends in Loss of Reactive Nitrogen to the Environment.,Available,2008,Data pending,Y ,N,Y,International Nitrogen Initiative,N,N,Y,N,
Target 7,Trends in Nitrogen Deposition,Available,1860 - 2100 ,Data pending,Y ,N,Y,International Nitrogen Initiative,N,6NR 2 out of 20 countries sampled,Y,N,
Target 7,Municipal solid waste collected and managed ,Available,Data pending,Yearly,Data pending,Y,Data pending,"United Nations (UN) -Habitat, United Nations Statistics Division (UNSD)",Data pending,Data pending,N,Data pending,
Target 7,Hazardous waste generation ,Available,Data pending,2 years,N,Y,Y,United Nations Statistics Division (UNSD); United Nations Environment Programme (UNEP),N,N,N,N,
Target 7,Trends in the amount of litter in the water column including microplastics and on the seafloor,Available,2016 - 2017,Yearly,Y,Y,N,UNEP/MAP; MEDPol,N,N,N,N,
Target 7,Index of coastal eutrophication (icep),Available,Data pending,5 years,Y ,N,Y,United Nations Environment Programme (UNEP),SDG,N,N,N,updated
Target 7,plastic debris density,Available,Data pending,5 years,Y ,N,Y,United Nations Environment Programme (UNEP),SDG,N,N,N,updated
Target 7,Red List of Ecosystems,In development,2014 - 2025,5 years ,Y ,Y,N,International Union for Conservation of Nature (IUCN); Commission on Ecosystem Management (CEM); Deakin University?,N,N,Y,N,
Target 7,Underwater noise pollution,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 7,"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,N,Data pending,
Target 7,Pesticide use per area of cropland,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 8,Above-ground biomass stock in forest (tonnes/ha),Available,"2000, 2005, 2010, 2015, 2020",Data pending,N,Y,Y,Food and Agriculture Organization (FAO),SDG; UNFCCC,N,N,N,
Target 8,National greenhouse inventories from land use and land use change,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,N,Data pending,
Target 8,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies ,Available,2015,Yearly,Y ,Y,Y,United Nations Office for Disaster Risk Reduction (UNDRR),SDG,N,N,N,
Target 8,"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications ",Available,2000 - 2021,Yearly,Y ,Y,Y,United Nations Framework Convention on Climate Change (UNFCCC),Paris Agreement; UNFCCC,N,N,N,
Target 8,Index of coastal eutrophication ,Available,Data pending,5 years,Y ,N,Y,United Nations Environment Programme (UNEP),SDG,N,N,N,
Target 8,"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 9,Proportion of fish stocks within biologically sustainable levels ,Available,1974 - 2017 ,2 years,Y,N,N,Food and Agriculture Organization (FAO),IPBES; SDG,N,Y,N,
Target 9,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing ",Available,2018 - 2020,2 years,Y ,Y,Y,Food and Agriculture Organization (FAO),SDG,6NR 3 out of 20 countries sampled,N,N,
Target 9,Number of MSC Chain of Custody Certification holders by distribution country,Available,2000 - 2020,Quarterly,Y ,N,Y,Marine Stewardship Council (MSC),N,N,Y,N,
Target 9,Spawning stock biomass (related to commercially exploited species),Available,Data pending,Data pending,Y,N,Y,General Fisheries Commission for the Mediterranean (GFCM),N,N,N,N,
Target 9,Number of plant and animal genetic resources for food and agriculture secured in medium- or longterm conservation facilities ,Available,2016 - 2020,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,6NR 4 out of 20 countries sampled,Y,N,
Target 9,Volume of production per labour unit by classes of farming/pastoral/ forestry enterprise size ,Available,2011 - 2016,Data pending,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,N,N,Y,
Target 10,Agrobiodiversity Index,In development,Data pending,Yearly,Y ,N,Y,Chartered Institute of Architectural Technologists (CIAT); Alliance Biodiversity,N,N,N,N,
Target 10,Changes in soil organic carbon stocks,Available,2000 - 2018,Data pending,Y ,Y,Y,United Nations Convention to Combat Desertification (UNCCD),SDG; UNCCD,N,N,N,
Target 10,Red List Index (wild relatives of domesticated animals),Available,1988 - 2016,1988 - 2016  Annually; 2020 onwards every 4-5 years,Y ,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,
Target 10,Red List Index (pollinating species),Available,1988 - 2016,1988 - 2016  Annually; 2020 onwards every 4-5 years,Y ,N,Y,International Union for Conservation of Nature (IUCN); BirdLife International (BLI),N,N,Y,N,
Target 10,Proportion of local breeds classified as being at risk extinction,Available,2000 - 2020,Yearly,N,Y,Y,Food and Agriculture Organization (FAO),IPBES; SDG,N,Y,N,
Target 10,Proportion of land that is degraded over total land area,Available,2000 - 2018,Yearly,Y,Y,Y,United Nations Convention to Combat Desertification (UNCCD),SDG; UNCCD,6NR 1 out of 20 countries sampled,Y,N,
Target 11,Air emission accounts,Available,2008 - 2018,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),N,N,N,N,
Target 11,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management,Available,2008 - 2019,Data pending,Y,Y,Y,United Nations Environment Programme (UNEP); Organisation for Economic Co-operation and Development (OECD); World Health Organization (WHO),SDG,N,N,N,
Target 11,Proportion of population using safely managed drinking water services ,Available,2000 - 2017,2 years,Y,Y,Y,World Health Organization (WHO); United Nations International Children's Emergency Fund (UNICEF),SDG,N,N,Y,
Target 11,Mortality rate attributed to household and ambient air pollution,Available,2016,Data pending,Y,N,Y,World Health Organization (WHO),SDG,N,N,Y,
Target 12,None adopted,N,N,N,N,N,N,N,N,N,N,N,
Target 13,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA) received in a country,Available,Data pending,Yearly,N,Y,N,International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA),N,N,N,N,
Target 13,"Total number of permits, or their equivalent, granted for access to genetic resources",Available,Data pending,4 years,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 13,Total number of internationally recognized certificates of compliance published in the ABS Clearing-House,Available,2016 - 2021,Real time,N,Y,Y,Access and Benefit Sharing Clearing-House (ABSCH) of the Convention on Biological Diversity (CBD),N,N,N,N,
Target 13,"Number of countries that require prior informed consent that have published legislative, administrative or policy measures on access and benefit-sharing in the ABS Clearing-House",Available,2018,Data pending,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 13,Number of countries that require prior informed consent that have published information on ABS procedures in the ABS Clearing-House,Available,2018,Real time,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 13,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits ",Available,2012 - 2021,Yearly,Y,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),SDG,6NR 2 out of 20 countries sampled,N,N,
Target 13,Estimated percentage of monetary and non monetary benefits directed towards conservation and sustainable use of biodiversity,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 14,Human Appropriation of Net Primary Production (HANPP),Available,1960 - 2005,"1960 - 2000: every 10 years; 2000 - 2005: five years

 ",Y,Y,Y,"Institute of Social Ecology (SEC), University of Natural Resources and Life Sciences - Vienna",N,N,Y,N,
Target 14,CO2 emission per unit of value added ,Available,1997 - 2017,Yearly,Y,Y,Y,International Energy Agency (IEA); United Nations Industrial Development Organization (UNIDO),SDG,N,N,N,
Target 14,Change in water-use efficiency over time ,Available,2000 - 2017,Yearly,Y,Y,Y,Food and Agriculture Organization (FAO) AQUASTAT,SDG,6NR 1 out of 20 countries sampled,N,N,
Target 15 ,Species threat abatement and restoration metric,In development,2021,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN),N,N,N,N,
Target 15 ,Number of companies publishing sustainability reports,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 16,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments (SDG 4.7.1)",Available,Data pending,4 years,N,Y,Y,"United Nations Educational, Scientific and Cultural Organization (UNESCO)",SDG; UNESCO,N,N,N,
Target 16,Recycling rate,Available,Data pending,Yearly,Y,Y,Y,United Nations Statistics Division (UNSD); United Nations Environment Programme (UNEP),SDG,N,N,N,
Target 16,Life cycle Impact assessment (LCIA) e.g. LIME ; Lifecycle Impact Assessment Method based on Endpoint Modelling,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 16,Levels of poverty in developing communities,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 17,Number of countries that have the necessary biosafety legal and administrative measures in place,Available,2019,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 17,Number of countries that implement their biosafety measures,Available,2019,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 17,Number of countries that have the necessary measures and means for detection and identification of products of biotechnology,Available,2019,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 17,Number of countries that carry out scientifically sound risk assessments to support biosafety decision-making,Available,2019,2 - 4 years,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 17,Number of countries that establish and implement risk management measures,Available,2019,2 - 4 years,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 17,Percentage of Parties to the Cartagena Protocol on Biosafety implementing the relevant provisions of the Protocol,Available,2019,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 17,Number of countries with legal and technical measures for restoration and compensation,Available,2020,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 17,Percentage of Parties to the Nagoya - Kuala Lumpur Supplementary Protocol,Available,2021,2 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 17,Percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,Available,2020,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 17,Number of countries that establish and implement risk management measures,Available,2020,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 17,Number of countries with mechanisms to facilitate the sharing of and access to information on potential adverse impacts of biotechnology on biodiversity and human health,Available,2020,2 - 4 years,N,Y,N,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 18,Number of countries with biodiversity-relevant taxes,Available,1980 - 2020,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,6NR 2 out of 20 countries sampled,Y,N,
Target 18,Number of countries with biodiversity-relevant charges and fees,Available,1980 - 2020,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,N,Y,N,
Target 18,Number of countries with biodiversity-relevant tradable permit schemes,Available,1980 - 2021,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),N,N,Y,N,
Target 18,Trends in potentially environmentally harmful elements of government support to agriculture (producer support estimate),Available,1990 - 2019,Yearly,Y,Y,N,Organisation for Economic Co-operation and Development (OECD),N,N,Y,N,
Target 18,Trends in the number and value of government fossil fuel support measures,Available,2010 - 2020,Yearly,N,Y,Y,International Energy Agency (IEA); Organisation for Economic Co-operation and Development (OECD),N,N,N,N,
Target 18,Amount of fossil-fuel subsidies per unit of GDP (production and consumption) ,Available,Data pending,Yearly,Y,Y,Y,United Nations Environment Programme (UNEP),N,N,N,N,
Target 19,Amount of funding provided through the Global Environment Facility and allocated to the biodiversity focal area ,Available,2002 - 2020,Yearly,N,Y,N,Global Environment Facility (GEF),N,N,N,N,
Target 19,"Foreign direct investment (FDI), official development assistance and South-South cooperation as a proportion of total domestic budget",In development,Data pending,Yearly,N,Y,Y,Organisation for Economic Co-operation and Development  (OECD); United Nations Conference on Trade and Development  (UNCTAD),SDG,N,N,N,
Target 19,Amount and composition of biodiversity-related finance reported to the OECD Creditor reporting system,Available,2002 - 2016,Data pending,N,Y,N,Organisation for Economic Co-operation and Development (OECD),N,N,N,N,
Target 19,"Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries",Available,2002 - 2018,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,N,N,N,
Target 19,Dollar value of all resources made available to strengthen statistical capacity in developing countries ,Available,2000 - 2018,Yearly,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),SDG,N,N,N,
Target 19,Amount of biodiversity-related philanthropic funding,Available,2017 - 2018,Yearly,N,Y,N,Organisation for Economic Co-operation and Development (OECD),N,N,N,N,
Target 19,Proportion of total research budget allocated to research in the field of marine technology,Available,Data pending,2 years,Y,Y,Y,"Intergovernmental Oceanographic Commission United Nations Educational, Scientific and Cultural Organization  (IOC-UNESCO)",SDG,N,N,N,
Target 19,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",Available,Data pending,2 years ,Y,Y,Y,United Nations Environment Programme (UNEP); Organisation for Economic Co-operation and Development (OECD),SDG,N,N,N,
Target 19,Number of countries (and number of instruments) with payments for ecosystem services (PES) programmes,In development,1980 - 2020,Data pending,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD),N,N,N,N,
Target 19,"Number of countries that have (a) Assessed values of biodiversity, in accordance with the Convention, (b) Identified and reported funding needs, gaps and priorities (c)Developed national financial plans for biodiversity; (d) Been provided with the necessary funding and capacity building to undertake the above activities",Available,Data pending,Data pending,N,Y,Y,Secretariat of the Convention on Biological Diversity (SCBD),N,N,N,N,
Target 20,None adopted,N,N,N,N,N,N,N,N,N,N,N,
Target 21,Growth in number of records and species in the Living Planet Index database,Available,2006 - 2020,Yearly,Y,N,N,Zoological Society London (ZSL),N,N,N,N,
Target 21,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 21,Growth in marine species occurrence records accessible through OBIS,Available,2000 - 2020,Data pending,Y,N,N,"Intergovernmental Oceanographic Commission United Nations Educational, Scientific and Cultural Organization (IOC-UNESCO)",N,N,N,N,
Target 21,Proportion of known species assessed through the IUCN Red List.,Available,1993 - 2021,Yearly,Y,N,Y,International Union for Conservation of Nature (IUCN),N,6NR 2 out of 20 countries sampled,Y,N,
Target 21,Number of assessments on the IUCN Red List of threatened species,Available,1993 - 2021,Yearly,Y,N,N,International Union for Conservation of Nature (IUCN),N,N,Y,N,
Target 21,World Association of Zoos and Aquariums (WAZA) bio-literacy survey (Biodiversity literacy in global zoo and aquarium visitors),Available,2012 - 2015,Data pending,Y,N,N,Chester Zoo; World Association of Zoos and Aquariums (WAZA),N,N,Y,Y,
Target 21,"Species Status Information Index
",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 22,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",Available,2000 - 2021,Yearly,Y,Y,Y,,,N,N,Y,
Target 22,Number of countries with systems to track and make public allocations for gender equality and women's empowerment ,Available,Data pending,6 months,Y,Y,Y,Organisation for Economic Co-operation and Development (OECD); United Nations (UN) Women; United Nations Development Programme (UNDP),SDG,N,N,Y,
Target 22,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",Available,2009 - 2019,Data pending,N,Y,Y,Food and Agriculture Organization (FAO),SDG,N,Data pending,Y,updated
Target 22,"share of women among owners or rights-bearers of agricultural land, by type of tenure ",Available,2009 - 2019,Data pending,N,Y,Y,Food and Agriculture Organization (FAO),SDG,N,Data pending,Y,updated
Target 22,Number of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,Available,2019,2 years,Y,Y,Y,Food and Agriculture Organization (FAO),SDG,N,N,Y,
Target 22,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),In development,Data pending,Data pending,N,N,N,International Institute for Environment and Development (IIED),N,N,N,Y,
Target 22,"Trends in number of environmental human rights defenders killed annually, disaggregated by country, gender; number of indigenous environmental human rights defenders kill",Available,2016 - 2020,Yearly,Y,N,Y,Global Witness,N,N,N,Y,
Target 22,Land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 22,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 23,"Percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",Available,2000 - 2021,Yearly,Y,Y,Y,Inter-Parliamentary Union (IPU); United Nations Development Programme (UNDP); Oslo Governance Centre,SDG,N,N,Y,
Target 23,"Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",Available,2009 - 2019,Data pending,N,Y,Y,Food and Agriculture Organization (FAO),SDG,N,Data pending,Y,updated
Target 23,"share of women among owners or rights-bearers of agricultural land, by type of tenure ",Available,2009 - 2019,Data pending,N,Y,Y,Food and Agriculture Organization (FAO),SDG,N,Data pending,Y,updated
Target 23,Number of countries with systems to track and make public allocations for gender equality and women's empowerment ,Available,Data pending,6 months,Y,Y,Y,United Nations Development Programme (UNDP); United Nations Women; Organisation for Economic Co-operation and Development  (OECD),SDG,N,N,Y,
Target 23,Number of protected areas that have completed a site-level assessment of governance and equity (SAGE),In development,Data pending,Data pending,N,N,N,International Institute for Environment and Development (IIED),N,N,N,Y,
Target 23,"Percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
Target 23,Proportion of countries where the legal framework (including customary law) guarantees women's equal rights to land ownership and/or control,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,Data pending,
