odd,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2,sources_old
,economic damages due to river floods,IPCC_1_62_25,IPCC,0,Human assets,Infrastructure (build-up area),Direct drivers,Natural drivers,IPCC
,economic growth,GEO_3_5_16,GEO,0,Human assets,State of economy,NA,NA,GEO
,"economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand",IPBES_GA2.3_sup_52,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,Climate change,IPBES
,economic inequality,IPCC_1_62_25,IPCC,0,Human well-being,Equity,NA,NA,IPCC
,economic value of bio-inspired production,GA_2.3_42_143,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,ecosystem intactness index,GBF_GA_C_1;GBF_GA_CY_29,GBF,1,ecosystems,State of ecosystems (integrity),NA,NA,GBF
,ecosystem integrity index,GBF_GA_C_2;GBF_T1_CY_113,GBF,1,ecosystems,State of ecosystems (integrity),NA,NA,GBF
,effectiveness of wetland invasive alien species control programmes,RAMSAR_SG1.4_13,RAMSAR,1,Governance,Nature-based legislation,biodiversity,Species conservation,
,eflow index,GBF_GB_CY_68,GBF,1,ecosystems,State of ecosystems (freshwater/coastal),NA,NA,GBF
,el niño-southern oscillation (enso) index,IPCC_2_76_122;IPCC_4_8_220;IPCC_4_27_234;IPCC_5_36_278,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,el niño-southern oscillation (enso) index bjerknes index,IPCC_4_37_241,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,electric power consumption (kwh per capita),IPBES_GA2.1_sup_14,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,"elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles",IPBES_GA2.3_sup_241,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,emergence (shannon’s information),IPBES_GA2.3_sup_278,IPBES,0,biodiversity,Genetic diversity,NA,NA,IPBES
,emission of particular compounds,IPCC_7_90_359,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,emissions of ozone-depleting substances,GEO_12_15_115;GEO_12_17_120,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,employment in materials production,GA_2.3_42_143,IPBES,0,Human assets,Income,Ecosystem services,Nature contribution,IPBES
,empowerment of women and girls,GEO_17_8_199,GEO,0,Human well-being,Equity,NA,NA,GEO
,encounter rates with supernatural forest dwelling entities,GA_2.3_41_142,IPBES,0,Knowledge systems,ILK,NA,NA,IPBES
,endemic species richness,VA_2_10_12,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
x,endemism (% endemics in community),NA,NA,NA,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,endemism (percentage endemics in community),IPBES_GA2.3_sup_277,IPBES,0,biodiversity,State of biodiversity,Knowledge systems,Information on biodiversity,
,endemism richness,GA_2.2_21_61,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,energy consumption,GEO_17_14_210,GEO,0,Ecosystem services,Nature contribution,NA,NA,GEO
,energy content of bioenergy crops,GA_2.3_42_143;IPBES_GA2.3_sup_139,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,energy intensity measured in terms of primary energy and gross domestic product,SDG_G7.3.1_97;IPBES_SUA_sup_7.3.1_41,SDG;IPBES,1,Human assets,Infrastructure (build-up area),NA,NA,IPBES;SDG
,energy production,GEO_17_14_210,GEO,0,Ecosystem services,Nature contribution,NA,NA,GEO
,energy security from bio-energy and fuelwood,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,"energy supply derived from cereals, roots and tubers",IPBES_GA2.1_sup_18,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,energy use (kg of oil equivalent per capita),IPBES_GA2.1_sup_10,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,energy-intensity,GEO_22_12_256,GEO,0,Human assets,State of economy,NA,NA,GEO
,enhanced vegetation index,GEO_6_18_58,GEO,0,ecosystems,State of ecosystems (integrity),NA,NA,GEO
,environmental awareness,VA_2_10_12,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,IPBES
,environmental change,SUA_2_97_80,IPBES,0,ecosystems,Change in ecosystems,NA,NA,IPBES
,environmental component of the social sustainability index,GA_2_25_34,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA,IPBES
,environmental performance index,GA_2_25_34;GA_5_104_261;GA_5_107_262,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA,IPBES
,environmentally friendly policy processes,GEO_3_5_16,GEO,0,Governance,Nature-based legislation,NA,NA,GEO
,equilibrium climate sensitivity ecs,IPCC_7_9_323,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,equitability (commonness and rareness),IPBES_GA2.3_sup_274,IPBES,0,biodiversity,Genetic diversity,NA,NA,IPBES
,essential climate variables (ecvs),IPCC_1_64_26,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,essential ocean variables (eovs),IPCC_1_64_26,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,estimate of gsat (era-5),IPCC_1_45_19,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,estimated fisheries catch and fishing effort,GA_1_52_19,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
x,estimated percentage of monetary and non-monetary benefits directed towards conservation and sustainable use of biodiversity,NA,NA,NA,Governance,Nature-based funding,biodiversity,Species conservation,GBF
,estimated percentage of monetary and non monetary benefits directed towards conservation and sustainable use of biodiversity,GBF_T13_CY_208,GBF,1,Governance,Nature-based legislation,Ecosystem services,Specific monetary valuation of nature contribution,
,ethnographic accounts,VA_2_38_28,IPBES,0,Human assets,Information on society and socio-economics,NA,NA,IPBES
,evaporative demand drought index (eddi),IPCC_11_58_543,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,evapotranspiration,GA_2.2_37_70;IPBES_GA2.2_sup_30,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
x,evapotranspiration (model ensemble),NA,NA,NA,ecosystems,Abiotic conditions,NA,NA,IPBES
,"events, documents and presentations, etc. delivered by other intergovernmental bodies and fora in meetings convened by the cites secretariat",CITES_G4.4.2_44,CITES,1,Governance,Nature-based legislation,,,
,evolutionarily distinct and globally endangered (edge),GBF_GA_C_7,GBF,1,biodiversity,Genetic diversity,NA,Species conservation,GBF
,evolutionary diversity,IAS_3_84_95,IPBES,0,biodiversity,Genetic diversity,NA,NA,IPBES
,excess of atmospheric evaporative demand (aed),IPCC_11_58_544,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species,IAS_6_14_142,IPBES,0,Direct drivers,Invasive alien species,Governance,Nature-based legislation,IPBES
,"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",SDG_G8.b.1_116;IPBES_SUA_sup_8.b.1_58,SDG;IPBES,1,Governance,Legislation/governance,NA,NA,IPBES;SDG
,existence of independent national human rights institutions in compliance with the paris principles,SDG_G16.a.1_234,SDG,1,Human well-being,Equity,NA,NA,SDG
,existence of non-crop or urban in a place dominated by either,IPBES_GA2.3_sup_70,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA,IPBES
,expansion of oligotrophic subtropical gyres of the atlantic and pacific oceans,IPCC_2_74_117,IPCC,0,ecosystems,State of ecosystems (marine),NA,NA,IPCC
,expansion of settlements,GA_2.2_6_56,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,export and import data,IPBES_GA2.3_sup_217,IPBES,0,Knowledge systems,NA,NA,NA,IPBES
,export and import of commodity data,IPBES_GA2.3_sup_216,IPBES,0,Knowledge systems,NA,NA,NA,IPBES
,exposure to ambient pm,GEO_5_19_45,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,exposure to high concentrations of pollutants,GEO_5_19_45,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,exposure to pm concentrations (population-weighted annual mean concentration of pm2.5),GEO_12_16_117,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,extent of agricultural land,GA_2.3_42_143,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,extent of coral reefs,IPBES_GA2.3_sup_58,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,extent of each ecoregion globally,IPBES_GA2.3_sup_2,IPBES,0,ecosystems,Area conservation,NA,NA,IPBES
,extent of ecosystems that filter or add constituent components to water,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,extent of forests,GA_2.2_1_50;GA_2.2_37_70;GA_2.2_40_78;GA_2.3_42_143;IPBES_GA2.2_sup_6,IPBES,0,ecosystems,Change in ecosystems,NA,NA,IPBES
,extent of ice cover,GEO_2_26_7,GEO,0,ecosystems,State of ecosystems,NA,NA,GEO
,extent of indigenous peoples and local communities lands that have some form of recognition,GBF_T3_CY_141,GBF,1,Knowledge systems,ILK,Human well-being,Equity,GBF
,extent of intact forest landscapes,GA_2.2_37_70;IPBES_GA2.2_sup_7,IPBES,0,ecosystems,State of ecosystems (integrity),NA,NA,IPBES
,extent of irrigated area,IPBES_GA2.3_sup_65,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,extent of marine calcification,IPBES_GA2.3_sup_54;IPBES_GA2.3_sup_56,IPBES,0,ecosystems,State of ecosystems,Direct drivers,Pollution,IPBES
,extent of marine calcification benefits from coral reefs,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,extent of marine vegetation,IPBES_GA2.3_sup_53,IPBES,0,ecosystems,State of ecosystems (marine),NA,NA,IPBES
,extent of marine wilderness,GA_2.2_37_70;IPBES_GA2.2_sup_8,IPBES,0,ecosystems,State of ecosystems (marine),NA,NA,IPBES
,extent of natural ecosystems,GBF_GA_H_2;GBF_T1_H_14;GBF_T2_C_15;GBF_T1_CY_111,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,extent of physical damage indicator to predominant seafloor habitats physical damage,GBF_GA_CY_32,GBF,1,Direct drivers,Land conversion,NA,NA,GBF
,extent of protected and intact habitat globally,GA_2.3_59_157,IPBES,0,ecosystems,State of ecosystems (integrity),NA,NA,IPBES
,extent of suitable habitat,GA_2.2_37_70;GA_2.2_37_70;GA_2.3_42_143;GA_3_15_329;IPBES_GA2.2_sup_16;IPBES_GA2.3_sup_3;IPBES_GA3_sup_17,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,extent of suitable habitat (mammals),IPBES_GA2.2_sup_65,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,extent of suitable habitat index (esh),GA_5_34_243,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA,IPBES
,extent of terrestrial wilderness,GA_2.2_37_70;IPBES_GA2.2_sup_9,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,extent of use of country-owned results frameworks and planning tools by providers of development cooperation,SDG_G17.15.1_252;IPBES_SUA_sup_17.15.1_151,SDG;IPBES,1,Governance,Legislation/governance,NA,NA,IPBES;SDG
,extent of which essential policy and management approaches have been adopted,IAS_6_56_150,IPBES,0,Governance,Legislation/governance,NA,NA,IPBES
x,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in curricula,VA_6_52_152,IPBES,0,Human assets,Specific information on human-nature relationship,NA,NA,IPBES;GBF;SDG
x,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in national education policies,VA_6_52_152,IPBES,0,Human assets,Specific information on human-nature relationship,NA,NA,IPBES;GBF;SDG
x,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in student assessment,VA_6_52_152,IPBES,0,Human assets,Information on society and socio-economics,NA,NA,IPBES;GBF;SDG
x,extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in teacher education,VA_6_52_152,IPBES,0,Human assets,Specific information on human-nature relationship,NA,NA,IPBES;GBF;SDG
,"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_T21_C_67;GBF_T16_CY_214;SDG_G4.7.1_64;SDG_G12.8.1_171;SDG_G13.3.1_180;IPBES_SUA_sup_12.8.1_98;IPBES_SUA_sup_13.3.1_107,GBF;SDG;IPBES,1,Human assets,Specific information on human-nature relationship,,,
,extent to which protected areas and other effective area-based conservation measures cover key biodiversity areas that are important for migratory species,GBF_T3_CY_137,GBF,1,ecosystems,State of ecosystems,biodiversity,State of biodiversity,GBF
,extinction risk,GA_2.2_1_50,IPBES,0,biodiversity,Change in biodiversity,biodiversity,Species conservation,IPBES
,extinction risk of wild relatives of domesticated or farmed birds and mammals,GA_3_44_371,IPBES,0,Ecosystem services,Nature contribution,biodiversity,Change in biodiversity,IPBES
,extraction all of biomass,IPBES_GA2.1_sup_48,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,extraction biomass animals,IPBES_GA2.1_sup_53,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,extraction biomass feed,IPBES_GA2.1_sup_52,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,extraction biomass food,IPBES_GA2.1_sup_50,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,extraction biomass forestry,IPBES_GA2.1_sup_51,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,extraction fossil-fuel,IPBES_GA2.1_sup_55,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
x,extraction of ind. and const. minerals,NA,NA,NA,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,extraction of industrial and constrution minerals,IPBES_GA2.1_sup_49,IPBES,0,Human assets,Infrastructure (build-up area),,,
,extraction of living biomass,GA_2_83_42,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,extraction of non-human materials,GA_2_118_47,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,extraction of non-living materials,GA_2_83_42,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,extraction ores,IPBES_GA2.1_sup_47,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,extraction other biomass,IPBES_GA2.1_sup_54,IPBES,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES
,extreme canopy temperatures,IPCC_12_15_596,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,extreme low runoff,IPCC_12_17_601,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,extreme temperatures,IPCC_11_24_511,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,farm size distribution,IPBES_GA2.3_sup_172,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,farmland bird index,SUA_4_51_116,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",SDG_G8.8.1_109;IPBES_SUA_sup_8.8.1_53,SDG;IPBES,1,Human assets,Coverage of basic needs,NA,NA,IPBES;SDG
,fertility rates,GEO_22_21_257,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,fertilizer price,GEO_8_26_75,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,fertilizer use,GBF_T7_C_36;GA_2_83_42,GBF;IPBES,1,Direct drivers,Pollution,NA,NA,IPBES;GBF
,fertilizers used,IPBES_GA2.1_sup_43,IPBES,0,Direct drivers,Pollution,NA,NA,IPBES
,fewer lives lost,VA_2_76_48,IPBES,0,Human well-being,Healthy living conditions,NA,NA,IPBES
,finance mobilized for capacity-building,GBF_GD_CY_94,GBF,1,Governance,Legislation/governance,NA,NA,GBF
,"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF_GD_CY_96,GBF,1,Governance,Legislation/governance,NA,NA,GBF
,"financial and technical assistance provided in dollars (including through south-south, north-south and triangular cooperation)",GBF_GD_CY_95,GBF,1,Governance,Legislation/governance,NA,NA,GBF
,financial soundness indicators,SDG_G10.5.1_134,SDG,1,Governance,Legislation/governance,NA,NA,SDG
,fire disturbances/burned areas,IPCC_1_66_27,IPCC,0,Direct drivers,Natural drivers,NA,NA,IPCC
,fire risk,IPCC_12_85_722,IPCC,0,Direct drivers,Natural drivers,NA,NA,IPCC
,fire weather index (fwi),IPCC_12_66_682;IPCC_12_79_710,IPCC,0,Direct drivers,Natural drivers,NA,NA,IPCC
,first and last days of snow cover,IPCC_12_19_604,IPCC,0,ecosystems,Abiotic conditions,ecosystems,State of ecosystems,IPCC
,fish abundance and biomass,GBF_GA_CY_41,GBF,1,biodiversity,State of biodiversity,NA,NA,GBF
,fish catch potential,GBF_GB_CY_75;IPBES_GA2.3_sup_180,GBF;IPBES,1,Ecosystem services,Nature contribution,NA,NA,IPBES;GBF
,fisheries exploitation rates,GA_3_164_441,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,fisheries management effectiveness index,IPBES_GA2.3_sup_167,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,fisheries management index,IPBES_GA2.3_sup_168,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,fisheries revenues,IPBES_GA2.3_sup_174,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,fisheries stock size,GA_3_164_441,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,"fixed broadband subscriptions per 100 inhabitants, by speed",SDG_G17.6.1_243,SDG,1,Knowledge systems,Information on society and socio-economics,,,
x,"fixed internet broadband subscriptions per 100 inhabitants, by speed6",NA,NA,NA,Knowledge systems,Information on society and socio-economics,NA,NA,SDG
,flax (t/ha/year)),IPBES_GA2.3_sup_198,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,fleshy algae cover,GBF_GA_CY_19,GBF,1,biodiversity,State of biodiversity,NA,NA,GBF
,floating plastic debris density,GBF_T7_C_38;GEO_14_15_152;GEO_14_15_154;GEO_20_8_234,GBF;GEO,1,Direct drivers,Pollution,ecosystems,State of ecosystems (integrity),GEO;GBF
,floating plastic litter density,GEO_7_19_66,GEO,0,ecosystems,State of ecosystems (integrity),Direct drivers,Pollution,GEO
,flood index (fi),IPCC_sup_47,IPCC,0,ecosystems,Abiotic conditions,,,
,floods,GA_2.2_6_56,IPBES,0,Direct drivers,Natural drivers,NA,NA,IPBES
,food deficit (kcal/capit a/day) (3- year average),IPBES_GA2.1_sup_5,IPBES,0,Human assets,Coverage of basic needs,,,
,food loss index,SDG_G12.3.1.a_163;IPBES_SUA_sup_12.3.1.a_91,SDG;IPBES,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,IPBES;SDG
,food produced (kcal),GA_2.3_42_143,IPBES,0,Human assets,Coverage of basic needs,Human well-being,Healthy living conditions,IPBES
,food quality (nutrients),GA_2.3_42_143,IPBES,0,Human assets,Coverage of basic needs,Human well-being,Healthy living conditions,IPBES
,food security,GEO_3_12_24;IPBES_GA2.3_sup_78,IPBES;GEO,0,Human assets,Coverage of basic needs,Human well-being,Healthy living conditions,IPBES;GEO
,food security and climate change,IPBES_GA2.3_sup_49,IPBES,0,Human assets,Coverage of basic needs,Direct drivers,Climate change,IPBES
,food security index,IPBES_GA2.1_sup_4,IPBES,0,Human assets,Coverage of basic needs,NA,NA,IPBES
,food waste,GEO_23_24_262,GEO,0,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA,NA,GEO
,food waste index,GBF_T16_C_58;SDG_G12.3.1.b_164;IPBES_SUA_sup_12.3.1.b_92,GBF;SDG;IPBES,1,Direct drivers,Specific mention of over-exploitation and unsustainable use of species/ecosystems,Human assets,Coverage of basic needs,IPBES;GBF;SDG
,"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",GBF_T19_CY_236;IPBES_SUA_sup_17.3.1_141,GBF;IPBES,1,Human assets,Information on society and socio-economics,NA,NA,IPBES;GBF
,forest and its role in protecting water sources,GA_2.3_22_127,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,forest and land management,GEO_23_24_262,GEO,0,Governance,Nature-based legislation,NA,NA,GEO
,forest area,IPBES_GA2.3_sup_219,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,forest area as a percentage of total land area,GBF_GA_CY_1;SDG_G15.1.1_194;GA_1_52_19;GEO_15_19_170;IPBES_SUA_sup_15.1.1_121,GBF;SDG;IPBES;GEO,1,ecosystems,State of ecosystems (coverage),NA,NA,IPBES;GEO;GBF;SDG
,forest distribution,GBF_GA_CY_2,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,forest fire danger index (ffdi),IPCC_12_43_642;IPCC_12_43_643,IPCC,0,Direct drivers,Natural drivers,NA,NA,IPCC
,forest fragmentation index,GBF_GA_CY_22,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,forest landscape integrity index,GBF_GA_CY_23;GBF_T2_CY_118,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,forest-specialist bird species per grid cell,GA_2.2_37_70;IPBES_GA2.2_sup_51,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,forestry production and trade (wood fuel),GBF_GB_CY_78,GBF,1,ecosystems,State of ecosystems,NA,NA,GBF
,forests and grazing lands loss,GA_2.2_5_55,IPBES,0,Direct drivers,Land conversion,ecosystems,Change in ecosystems,IPBES
,fossil co2 emissions,IPCC_4_79_266,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
x,fossil-fuel energy consumption (% of total),NA,NA,NA,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,fossil-fuel energy consumption (percentage of total),IPBES_GA2.1_sup_12,IPBES,0,Direct drivers,Climate change,Human assets,Infrastructure (build-up area),
,fraction of absorbed photosynthetically active radiation (fapar),IPCC_1_66_27;IPCC_2_79_128,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,fraction of ocean not fished per year,GA_2.2_37_70;IPBES_GA2.2_sup_10,IPBES,0,ecosystems,State of ecosystems,Direct drivers,Land conversion,IPBES
,fraction of people die due to flood,IPBES_GA2.3_sup_91,IPBES,0,Direct drivers,Natural drivers,Human well-being,Healthy living conditions,IPBES
,fraction of people infected with disease of flood,IPBES_GA2.3_sup_92,IPBES,0,Direct drivers,Natural drivers,Direct drivers,(Infectious) diseases,IPBES
,fraction of precipitation falling as snow,IPCC_12_19_604,IPCC,0,ecosystems,Abiotic conditions,ecosystems,State of ecosystems,IPCC
,fraction of species known to be medicinal,GA_2.3_42_143,IPBES,0,Knowledge systems,ILK,NA,NA,IPBES
,free flowing rivers,GBF_GA_CY_54;GBF_T2_CY_120,GBF,1,ecosystems,State of ecosystems (freshwater/coastal),NA,NA,GBF
,free tropospheric ozone,IPCC_2_21_42,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,freshwater change over time,GEO_16_19_194,GEO,0,Ecosystem services,Nature contribution,NA,NA,GEO
,freshwater withdrawal as a proportion of available freshwater resources,GEO_16_14_181;GEO_20_8_234,GEO,0,Ecosystem services,Nature contribution,NA,NA,GEO
,fuel aridity,IPCC_12_18_602,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,full exceedance probability distribution of coastal erosion volume,IPCC_12_20_606,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,functional betadiversity,IPBES_GA2.3_sup_295,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,functional diversity,IAS_5_109_131,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,"functional diversity (fd), rarity, redundancy, vulnerability",IPBES_GA2.3_sup_267,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,functional intactness (madingley),GA_2.2_37_70;GA_2.2_47_90;IPBES_GA2.2_sup_52,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,functional intactness (madingley) (madingley),NA,NA,NA,ecosystems,State of ecosystems (integrity),NA,NA,IPBES
,functional richness (madingley),IPBES_GA2.2_sup_78,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,funding committed to environmental research,IPBES_GA3_sup_65,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,funding for environmental education,GA_3_15_329,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,funding for environmental impact assessments,GA_3_15_329,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,funding provided by the global environment facility,IPBES_GA3_sup_66,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,funding towards environmental education,IPBES_GA3_sup_3,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,funding towards environmental impact assessment,IPBES_GA3_sup_5,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,funding towards institutional capacity building in fisheries,GA_3_15_329;IPBES_GA3_sup_8,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,funding towards nature reserves,IPBES_GA3_sup_48,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,funding towards species protection,IPBES_GA3_sup_51,IPBES,0,Governance,Nature-based funding,NA,NA,IPBES
,further sub-indicators on additional/more specific threat types,CMS_G2.7_11,CMS,1,biodiversity,Change in biodiversity,,,
,gamma diversity (total diversity of species in a landscape),IPBES_GA2.3_sup_287,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,gender equality,GEO_17_8_199,GEO,0,Human well-being,Equity,NA,NA,GEO
,gender-disaggregated agricultural indices,GEO_3_10_20,GEO,0,Human well-being,Equity,NA,NA,GEO
,gene bank accession and available genetic resources,GA_2.3_42_143,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
,genesis potential index,IPCC_11_78_568,IPCC,0,Direct drivers,Natural drivers,NA,NA,IPCC
,genetic diversity,VA_2_10_12;VA_2_38_28,IPBES,0,biodiversity,Genetic diversity,NA,NA,IPBES
,genetic resources and especially agrodiversity known to date and its linkage to food security,IPBES_GA2.3_sup_230,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
,genetic scorecard for wild species,GBF_GA_CY_42,GBF,1,biodiversity,Genetic resources,NA,NA,GBF
,genetic variation (cohesion),IPBES_GA2.3_sup_284,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
,genetic variation (complexity),IPBES_GA2.3_sup_280,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
,"genetic variation (connectance, numbers of links by the number of nodes)",IPBES_GA2.3_sup_285,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
,genetic variation (dissimilarity),IPBES_GA2.3_sup_283,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
,genetic variation (hamming distance),IPBES_GA2.3_sup_282,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
,genetic variation (homeostasis),IPBES_GA2.3_sup_281,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
,genetic variation (nestedness),IPBES_GA2.3_sup_288,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
,genetic variation (self-organization),IPBES_GA2.3_sup_279,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
