indicator_harmonized,indic_ids,sources,policy
environmental performance index,GA_2_25_34;GA_5_104_261;GA_5_107_262,IPBES,0
environmentally friendly policy processes,GEO_3_5_16,GEO,0
equilibrium climate sensitivity ecs,IPCC_7_9_323,IPCC,0
essential climate variables (ecvs),IPCC_1_64_26,IPCC,0
essential ocean variables (eovs),IPCC_1_64_26,IPCC,0
estimate of gsat (era-5),IPCC_1_45_19,IPCC,0
estimated fisheries catch and fishing effort,GA_1_52_19,IPBES,0
estimated percentage of monetary and non monetary benefits directed towards conservation and sustainable use of biodiversity,GBF_T13_CY_210,GBF,1
ethnographic accounts,VA_2_38_28,IPBES,0
evaporative demand drought index (eddi),IPCC_11_58_543,IPCC,0
evapotranspiration,GA_2.2_37_70;IPBES_GA2.2_sup_30,IPBES,0
"events, documents and presentations, etc. delivered by other intergovernmental bodies and fora in meetings convened by the cites secretariat",CITES_G4.4.2_44,CITES,1
evolutionarily distinct and globally endangered (edge),GBF_GA_C_7,GBF,1
evolutionary diversity,IAS_3_84_95,IPBES,0
excess of atmospheric evaporative demand (aed),IPCC_11_58_544,IPCC,0
existence and uptake of multilateral agreements and national legislation relevant to the prevention and control of invasive alien species,IAS_6_14_142,IPBES,0
"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",SDG_G8.b.1_116;IPBES_SUA_sup_8.b.1_58,SDG;IPBES,1
existence of independent national human rights institutions in compliance with the paris principles,SDG_G16.a.1_234,SDG,1
expansion of oligotrophic subtropical gyres of the atlantic and pacific oceans,IPCC_2_74_117,IPCC,0
expansion of settlements,GA_2.2_6_56,IPBES,0
exposure to ambient pm,GEO_5_19_45,GEO,0
exposure to high concentrations of pollutants,GEO_5_19_45,GEO,0
exposure to pm concentrations (population-weighted annual mean concentration of pm2.5),GEO_12_16_117,GEO,0
extent of agricultural land,GA_2.3_42_143,IPBES,0
extent of ecosystems that filter or add constituent components to water,GA_2.3_42_143,IPBES,0
extent of forests,GA_2.2_1_50;GA_2.2_37_70;GA_2.2_40_78;GA_2.3_42_143;IPBES_GA2.2_sup_6,IPBES,0
extent of ice cover,GEO_2_26_7,GEO,0
extent of indigenous peoples and local communities lands that have some form of recognition,GBF_T3_CY_142,GBF,1
extent of intact forest landscapes,GA_2.2_37_70;IPBES_GA2.2_sup_7,IPBES,0
extent of marine calcification benefits from coral reefs,GA_2.3_42_143,IPBES,0
extent of marine wilderness,GA_2.2_37_70;IPBES_GA2.2_sup_8,IPBES,0
extent of natural ecosystems,GBF_GA_H_2;GBF_T1_H_14;GBF_T2_C_15;GBF_T1_CY_112,GBF,1
extent of physical damage indicator to predominant seafloor habitats physical damage,GBF_GA_CY_32,GBF,1
extent of protected and intact habitat globally,GA_2.3_59_157,IPBES,0
extent of suitable habitat,GA_2.2_37_70;GA_2.2_37_70;GA_2.3_42_143;GA_3_15_329;IPBES_GA2.2_sup_16;IPBES_GA3_sup_17,IPBES,0
extent of suitable habitat (mammals),IPBES_GA2.2_sup_65,IPBES,0
extent of suitable habitat index (esh),GA_5_34_243,IPBES,0
extent of terrestrial wilderness,GA_2.2_37_70;IPBES_GA2.2_sup_9,IPBES,0
extent of use of country-owned results frameworks and planning tools by providers of development cooperation,SDG_G17.15.1_252;IPBES_SUA_sup_17.15.1_151,SDG;IPBES,1
extent of which essential policy and management approaches have been adopted,IAS_6_56_150,IPBES,0
"extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in: (a) national education policies, (b) curricula, (c) teacher education and (d) student assessments",GBF_T21_C_67;GBF_T16_CY_216;SDG_G4.7.1_64;SDG_G12.8.1_171;SDG_G13.3.1_180;VA_6_52_152;IPBES_SUA_sup_12.8.1_98;IPBES_SUA_sup_13.3.1_107,GBF;SDG;IPBES,1
extent to which protected areas and other effective area-based conservation measures cover key biodiversity areas that are important for migratory species,GBF_T3_CY_138,GBF,1
extinction risk,GA_2.2_1_50,IPBES,0
extinction risk of wild relatives of domesticated or farmed birds and mammals,GA_3_44_371,IPBES,0
extraction all of biomass,IPBES_GA2.1_sup_48,IPBES,0
extraction biomass animals,IPBES_GA2.1_sup_53,IPBES,0
extraction biomass feed,IPBES_GA2.1_sup_52,IPBES,0
extraction biomass food,IPBES_GA2.1_sup_50,IPBES,0
extraction biomass forestry,IPBES_GA2.1_sup_51,IPBES,0
extraction fossil-fuel,IPBES_GA2.1_sup_55,IPBES,0
extraction of industrial and constrution minerals,IPBES_GA2.1_sup_49,IPBES,0
extraction of living biomass,GA_2_83_42,IPBES,0
extraction of non-human materials,GA_2_118_47,IPBES,0
extraction of non-living materials,GA_2_83_42,IPBES,0
extraction ores,IPBES_GA2.1_sup_47,IPBES,0
extraction other biomass,IPBES_GA2.1_sup_54,IPBES,0
extreme canopy temperatures,IPCC_12_15_596,IPCC,0
extreme low runoff,IPCC_12_17_601,IPCC,0
extreme temperatures,IPCC_11_24_511,IPCC,0
farmland bird index,SUA_4_51_116,IPBES,0
"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",SDG_G8.8.1_109;IPBES_SUA_sup_8.8.1_53,SDG;IPBES,1
fertility rates,GEO_22_21_257,GEO,0
fertilizer price,GEO_8_26_75,GEO,0
fertilizer use,GBF_T7_C_36;GA_2_83_42,GBF;IPBES,1
fertilizers used,IPBES_GA2.1_sup_43,IPBES,0
fewer lives lost,VA_2_76_48,IPBES,0
finance mobilized for capacity-building,GBF_GD_CY_95,GBF,1
"finance mobilized for promoting the development, transfer, dissemination and diffusion of technology",GBF_GD_CY_97,GBF,1
"financial and technical assistance provided in dollars (including through south-south, north-south and triangular cooperation)",GBF_GD_CY_96,GBF,1
financial soundness indicators,SDG_G10.5.1_134,SDG,1
fire disturbances/burned areas,IPCC_1_66_27,IPCC,0
fire risk,IPCC_12_85_722,IPCC,0
fire weather index (fwi),IPCC_12_66_682;IPCC_12_79_710,IPCC,0
first and last days of snow cover,IPCC_12_19_604,IPCC,0
fish abundance and biomass,GBF_GA_CY_41,GBF,1
fish catch potential,GBF_GB_CY_75,GBF,1
fisheries exploitation rates,GA_3_164_441,IPBES,0
fisheries stock size,GA_3_164_441,IPBES,0
"fixed broadband subscriptions per 100 inhabitants, by speed",SDG_G17.6.1_243,SDG,1
fleshy algae cover,GBF_GA_CY_19,GBF,1
floating plastic debris density,GBF_T7_C_38;GEO_14_15_152;GEO_14_15_154;GEO_20_8_234,GBF;GEO,1
floating plastic litter density,GEO_7_19_66,GEO,0
flood index (fi),IPCC_sup_47,IPCC,0
floods,GA_2.2_6_56,IPBES,0
food deficit (kcal/capit a/day) (3- year average),IPBES_GA2.1_sup_5,IPBES,0
food loss index,SDG_G12.3.1.a_163;IPBES_SUA_sup_12.3.1.a_91,SDG;IPBES,1
food produced (kcal),GA_2.3_42_143,IPBES,0
food quality (nutrients),GA_2.3_42_143,IPBES,0
food security index,GEO_3_12_24;IPBES_GA2.1_sup_4,IPBES;GEO,0
food waste index,GBF_T16_C_58;SDG_G12.3.1.b_164;GEO_23_24_262;IPBES_SUA_sup_12.3.1.b_92,GBF;SDG;IPBES;GEO,1
"foreign direct investment (fdi), official development assistance and south-south cooperation as a proportion of total domestic budget",GBF_T19_CY_238;IPBES_SUA_sup_17.3.1_141,GBF;IPBES,1
forest and its role in protecting water sources,GA_2.3_22_127,IPBES,0
forest and land management,GEO_23_24_262,GEO,0
forest area as a percentage of total land area,GBF_GA_CY_1;SDG_G15.1.1_194;GA_1_52_19;GEO_15_19_170;IPBES_SUA_sup_15.1.1_121,GBF;SDG;IPBES;GEO,1
forest distribution,GBF_GA_CY_2,GBF,1
forest fire danger index (ffdi),IPCC_12_43_642;IPCC_12_43_643,IPCC,0
forest fragmentation index,GBF_GA_CY_22,GBF,1
forest landscape integrity index,GBF_GA_CY_23;GBF_T2_CY_119,GBF,1
forest-specialist bird species per grid cell,GA_2.2_37_70;IPBES_GA2.2_sup_51,IPBES,0
forestry production and trade (wood fuel),GBF_GB_CY_78,GBF,1
forests and grazing lands loss,GA_2.2_5_55,IPBES,0
fossil co2 emissions,IPCC_4_79_266,IPCC,0
fossil-fuel energy consumption (percentage of total),IPBES_GA2.1_sup_12,IPBES,0
fraction of absorbed photosynthetically active radiation (fapar),IPCC_1_66_27;IPCC_2_79_128,IPCC,0
fraction of ocean not fished per year,GA_2.2_37_70;IPBES_GA2.2_sup_10,IPBES,0
fraction of precipitation falling as snow,IPCC_12_19_604,IPCC,0
free flowing rivers,GBF_GA_CY_54;GBF_T2_CY_121,GBF,1
free tropospheric ozone,IPCC_2_21_42,IPCC,0
freshwater change over time,GEO_16_19_194,GEO,0
freshwater withdrawal as a proportion of available freshwater resources,GEO_16_14_181;GEO_20_8_234,GEO,0
fuel aridity,IPCC_12_18_602,IPCC,0
full exceedance probability distribution of coastal erosion volume,IPCC_12_20_606,IPCC,0
functional diversity,IAS_5_109_131,IPBES,0
functional intactness (madingley),GA_2.2_37_70;GA_2.2_47_90;IPBES_GA2.2_sup_52,IPBES,0
functional richness (madingley),IPBES_GA2.2_sup_78,IPBES,0
funding committed to environmental research,IPBES_GA3_sup_65,IPBES,0
funding for environmental education,GA_3_15_329,IPBES,0
funding for environmental impact assessments,GA_3_15_329,IPBES,0
funding provided by the global environment facility,IPBES_GA3_sup_66,IPBES,0
funding towards environmental education,IPBES_GA3_sup_3,IPBES,0
funding towards environmental impact assessment,IPBES_GA3_sup_5,IPBES,0
funding towards institutional capacity building in fisheries,GA_3_15_329;IPBES_GA3_sup_8,IPBES,0
funding towards nature reserves,IPBES_GA3_sup_48,IPBES,0
funding towards species protection,IPBES_GA3_sup_51,IPBES,0
further sub-indicators on additional/more specific threat types,CMS_G2.7_11,CMS,1
gender-disaggregated agricultural indices,GEO_3_10_20,GEO,0
gene bank accession and available genetic resources,GA_2.3_42_143,IPBES,0
genesis potential index,IPCC_11_78_568,IPCC,0
genetic diversity,VA_2_10_12;VA_2_38_28,IPBES,0
genetic scorecard for wild species,GBF_GA_CY_42,GBF,1
genuine progress indicator,GA_6_139_289;VA_2_8_10;VA_2_38_29;VA_5_78_136;VA_6_21_143;IAS_6_85_153,IPBES,0
geographical overlay of linguistic diversity and biodiversity,GA_2.3_39_137,IPBES,0
ghg changes,IPCC_3_17_173,IPCC,0
ghg emissions,GEO_5_17_41;GEO_12_18_122;IPBES_GA2.1_sup_41;IPBES_GA2.1_sup_46,IPBES;GEO,0
ghg emissions from agriculture,GEO_17_9_201,GEO,0
ghs effective radiative forcing,IPCC_7_44_330,IPCC,0
gini index,GA_5_80_256,IPBES,0
glacial mass balance,GA_3_51_381;IPBES_GA3_sup_37,IPBES,0
glaciar mass loss,IPCC_9_65_447,IPCC,0
glacier areal and mass changes/loss rate,IPCC_2_60_95,IPCC,0
glacier mass and extent,IPCC_2_26_47,IPCC,0
glacier mass balance,GEO_2_26_7,GEO,0
glacier mass loss,IPCC_1_13_4,IPCC,0
global annual mean tropospheric ozone burden,IPCC_6_22_300,IPCC,0
global atmospheric co levels,GEO_7_7_63,GEO,0
global bird richness (csar),IPBES_GA2.2_sup_56,IPBES,0
global capacity,GEO_13_14_129,GEO,0
global carbon budget,IPCC_5_70_289,IPCC,0
global climate risk index,GA_1_52_19,IPBES,0
global coral reef extent,GBF_GA_CY_13,GBF,1
global cover of mangroves,GA_2.2_91_124,IPBES,0
global dust deposition,IPCC_6_16_296,IPCC,0
global ecosystem restoration index,GBF_T2_CY_120;GA_1_52_19,GBF;IPBES,1
global effort in bottom-trawling,GA_1_52_19;GA_4_152_225;GA_3_15_329;IPBES_GA3_sup_24,IPBES,0
global energy budget,IPCC_1_38_17;IPCC_7_77_351,IPCC,0
global environmental impacts of consumption,GBF_T16_C_60,GBF,1
global forest-specialist bird richness (csar),IPBES_GA2.2_sup_57,IPBES,0
"global funding committed towards environmental policy, laws, regulations and economic instruments",IPBES_GA3_sup_68,IPBES,0
global funding for resourcing of biological invasions policy and management implementation,IAS_6_17_143,IPBES,0
global greening/browning,IPCC_2_26_47,IPCC,0
global human settlement layer (ghsl),GEO_3_14_30,GEO,0
global imports of information and communication technology (ict) goods as presented by bilateral trade flows by ict goods categories,GBF_GD_CY_103,GBF,1
global index on indigenous peoples' well-being,VA_3_63_79,IPBES,0
global land precipitation,IPCC_4_7_219,IPCC,0
global linguistic diversity index and language threat level,GA_1_52_19,IPBES,0
global mammal and bird species remaining,GA_2.2_37_70;IPBES_GA2.2_sup_58,IPBES,0
global mean ocean surface ph,IPCC_4_8_220,IPCC,0
global mean sea level (gmsl),IPCC_1_16_6;IPCC_9_96_465,IPCC,0
global mean surface temperature (gmst),IPCC_1_16_6;IPCC_1_47_20;IPCC_2_8_35,IPCC,0
global monsoons,IPCC_2_26_47,IPCC,0
global precipitation climatology centre (gpcc) v8,IPCC_1_13_4,IPCC,0
global saltmarsh extent,GBF_GA_CY_15,GBF,1
global scale ecosystem carbon storage,GA_4_87_186,IPBES,0
global seagrass extent (seagrass cover and composition),GBF_GA_CY_14,GBF,1
global surface air temperature (gmst),IPCC_1_13_4,IPCC,0
global surface air temperature (gsat),IPCC_4_7_219;IPCC_9_11_426,IPCC,0
global surface temperature,IPCC_7_82_356;IPCC_7_91_360,IPCC,0
global temperature,IPCC_1_58_23,IPCC,0
global temperature increase,GEO_4_20_39,GEO,0
global temperature potential,GEO_12_18_124,GEO,0
global temperatures,IPCC_1_92_33,IPCC,0
global vegetation cover,IPCC_2_43_71,IPCC,0
global vegetation health products,GBF_GA_CY_26,GBF,1
global warming potential index,GEO_12_18_122,GEO,0
globalization index,GA_2_24_29;IPBES_GA2.1_sup_2,IPBES,0
governance index,SUA_6_77_200,IPBES,0
grassland and savannah extent,GBF_GA_CY_4,GBF,1
green consumption,GA_3_26_355,IPBES,0
green gross domestic product,VA_6_22_145,IPBES,0
green status of species index,GBF_T4_C_28,GBF,1
green status of species index (pollinators),GBF_GB_CY_60,GBF,1
greenhouse gas emissions,GA_2_83_42;GEO_4_20_39,IPBES;GEO,0
greenhouse gas index (national oceanic and atmospheric administration),GEO_2_23_6,GEO,0
greenland blocking index,IPCC_9_47_438,IPCC,0
greenland ice sheet fluctuations,IPCC_2_60_96,IPCC,0
gross domestic product,GA_1_19_6;GA_2_20_26;GA_2_24_29;GA_6_139_289;SUA_1_11_4;SUA_4_149_137;VA_2_10_12;VA_2_38_29;VA_5_78_136;VA_6_61_155;IAS_2_5_11;IAS_3_8_84;IAS_3_34_90;IAS_6_85_153;IPBES_GA2.1_sup_1;IPBES_GA2.1_sup_29,IPBES,0
gross ecosystem product,VA_4_89_124,IPBES,0
gross national happiness index,GA_1_19_6;GA_5_69_253;GA_6_140_290;SUA_1_12_5;VA_2_29_20;IAS_6_85_153,IPBES,0
gross national happiness index of bhutan,VA_6_21_143,IPBES,0
gross national product,IAS_6_85_153,IPBES,0
ground subsidence,IPCC_2_63_102,IPCC,0
grounding line retreat,IPCC_9_55_443,IPCC,0
growing degree days,IPCC_12_46_648,IPCC,0
"growing season length: annual (1 jan to 31 dec in northern hemisphere (nh), 1 july to 30 june in southern hemisphere (sh)) count between first span of at least six days with daily mean temperature tg >5°c and first span after july 1 (jan 1 in sh) of six days with tg <5°c",IPCC_sup_16,IPCC,0
growing season of terrestrial biota,IPCC_2_26_47,IPCC,0
growth in human appropriation of net primary productivity,GA_3_26_355,IPBES,0
growth in information relevant to informing policy on invasive alien species prevention and control,IAS_6_11_138;IAS_6_119_174,IPBES,0
growth in marine species occurrence records accessible through ocean biodiversity information system (obis),GBF_T21_CY_250,GBF,1
growth in number of records and species in the living planet index database,GBF_T21_CY_248,GBF,1
growth rates of household expenditure or income per capita among the bottom 40 percent of the population and the total population,SDG_G10.1.1_129;IPBES_SUA_sup_10.1.1_70,SDG;IPBES,1
habitat area and quality,GA_4_34_176,IPBES,0
habitat conditions,SUA_4_89_132,IPBES,0
habitat distributional range,GBF_T2_CY_115,GBF,1
habitat loss,GEO_6_8_49,GEO,0
habitat patches located within marine protected areas or integrated coastal zone management (iczm),GBF_T1_CY_107,GBF,1
habitat quality,SUA_2_95_77,IPBES,0
hadley circulation cell,IPCC_3_37_179,IPCC,0
hadley/walker circulation,IPCC_2_26_47,IPCC,0
hallow coral reefs,GA_2.2_91_124,IPBES,0
happiness,VA_3_41_70,IPBES,0
happy planet index,GA_5_69_253;GA_5_108_263,IPBES,0
hard coral cover and composition,GBF_GA_CY_12,GBF,1
harvest intensity,SUA_2_95_77,IPBES,0
hazardous waste,GBF_T7_CY_173;SDG_G12.4.2.a_166;IPBES_SUA_sup_12.4.2.a_93,GBF;SDG;IPBES,1
health associated with intake of pollinator dependent foods,GA_2.3_42_143,IPBES,0
health condition and body size of wild animals decrease,GA_2.2_5_55,IPBES,0
health of the forest,GA_2.3_41_142,IPBES,0
health of the soil,GA_2.3_40_140,IPBES,0
health worker density and distribution,SDG_G3.c.1_53,SDG,1
heat index (hi),IPCC_12_7_581;IPCC_12_27_618;IPCC_12_49_649;IPCC_12_85_724,IPCC,0
heat stress (humidity and temperature),IPCC_12_15_596,IPCC,0
heat stress index,IPCC_12_54_663,IPCC,0
heating degree day index,IPCC_12_56_664,IPCC,0
heating degree days below 15.5°c,IPCC_sup_45,IPCC,0
"hepatitis b incidence per 100,000 population",SDG_G3.3.4_35,SDG,1
"high blood pressure, smoking, low birth weight, high levels of blood sugar",GEO_5_19_45,GEO,0
high body mass index,GEO_5_19_45,GEO,0
highest five day precipitation amount (rx5day),IPCC_11_52_540,IPCC,0
highest one day precipitation amount (rx1day),IPCC_11_52_540,IPCC,0
historic land use change since 1970,GA_2.3_53_152,IPBES,0
holistic health model,VA_3_63_79,IPBES,0
human appropriation of fresh water,GA_3_15_329;IPBES_GA3_sup_14,IPBES,0
human appropriation of net primary productivity,GBF_T14_CY_211;GA_1_52_19;VA_2_38_29;IPBES_GA3_sup_13,GBF;IPBES,1
human development index (hdi),GA_1_19_6;GA_1_31_9;GA_2_24_29;GA_2_22_30;GA_5_68_252;GA_3_77_402;GA_3_97_413;SUA_1_12_5;VA_5_78_136;IAS_2_18_24,IPBES,0
human footprint,GA_2.2_62_105,IPBES,0
human population density,IAS_3_8_84,IPBES,0
human population size,IAS_2_5_11,IPBES,0
humidity,IPCC_12_62_673,IPCC,0
hunting success,SUA_2_97_80,IPBES,0
hydrological deficits,IPCC_11_58_544,IPCC,0
ice core measurements,IPCC_5_14_270,IPCC,0
ice core records,IPCC_2_58_90,IPCC,0
ice cores,IPCC_2_63_105,IPCC,0
ideas and products mimicking or inspired by nature,GA_2.3_42_143,IPBES,0
identity value - rural and iplc,GA_2.3_42_143,IPBES,0
identity value - urban,GA_2.3_42_143,IPBES,0
illegal trade by cites species classification,GBF_T5_CY_161,GBF,1
impact of agricultural habitat conversion on birds,SUA_4_42_113,IPBES,0
"impact of alien species on sensitive places, species and functions",IAS_6_97_160,IPBES,0
impacts of agricultural outpic prices on deforestation rates both inside and outside of protected areas,GEO_15_19_169,GEO,0
implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_T5_CY_164,GBF,1
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,SDG_G12.b.1_173;IPBES_SUA_sup_12.b.1_100,SDG;IPBES,1
importance of forests to people,SUA_2_92_69,IPBES,0
improved health from natural medicines or bio-derived medicines,GA_2.3_42_143,IPBES,0
improved water supply and sanitation,GEO_16_18_190,GEO,0
improved/unimproved sources of drinking water,GEO_16_16_184,GEO,0
improvement in conseration status of species threatened by invasive alien species,IAS_6_119_174,IPBES,0
including annual estimates of national food supplies per capita for each primary commodity and a number of processed commodities that are potentially available for human consumption,GEO_17_12_205,GEO,0
inclusion of historically disadvantaged stakeholders,VA_2_10_12,IPBES,0
inclusive and equitable quality education,GEO_22_21_257,GEO,0
inclusive societies,GEO_3_5_16,GEO,0
inclusive wealth,GA_1_19_6;SUA_1_12_5;VA_2_7_9;VA_2_39_33;VA_3_114_99;VA_5_78_136,IPBES,0
income,GA_2_25_31;SUA_4_149_137,IPBES,0
increase in global tc maximum surface wind speeds,IPCC_11_79_569,IPCC,0
increase in secondary natural forest cover,GBF_T2_CY_117,GBF,1
increase in the global mean sea level,GEO_2_26_7,GEO,0
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",GA_2.3_42_143,IPBES,0
"increased awareness, care, mental health, cultural security, life satisfaction - urban",GA_2.3_42_143,IPBES,0
increasingly unpredictable annual distribution of rainfall,GA_2.2_6_56,IPBES,0
index of coastal eutrophication potential (icep),GBF_T7_H_24;GBF_T7_CY_175;GBF_T8_CY_185;SDG_G14.1.1.a_183;GEO_7_19_66;GEO_20_8_234;IPBES_SUA_sup_14.1.1.a_110,GBF;SDG;IPBES;GEO,1
"index of development of the standard - setting framework for the protection and promotion of culture, cultural rights and cultural diversity",GBF_GB_CY_85,GBF,1
"index of species rarity sites, high biodiversity areas, large mammal landscapes, intact wilderness and climate stabilization areas",GBF_T2_CY_116,GBF,1
index of sustaibale economic welfare,IAS_6_85_153,IPBES,0
index of sustainable economic welfare (isew),GA_6_139_289;VA_2_38_29;VA_2_39_33,IPBES,0
indian ocean basin (iob) index,IPCC_3_78_203,IPCC,0
indian ocean dipole (ipo),IPCC_3_80_205,IPCC,0
indian ocean dipole index (iod),IPCC_3_78_202,IPCC,0
indicator based on task force for naturerelated financial disclosures,GBF_T15_C_57,GBF,1
indicator of food price anomalies,SDG_G2.c.1_27;IPBES_SUA_sup_2.c.1_25,SDG;IPBES,1
indicator on biodiversity information for monitoring the global biodiversity framework,GBF_T21_H_49,GBF,1
indicator on monetary benefits received,GBF_T13_H_35,GBF,1
indicator on national implementation of the gender plan of action 2023-2030,GBF_T23_C_70,GBF,1
indicator on non-monetary benefits,GBF_T13_H_36,GBF,1
indicator(s) related to flows of financing related to different aspects of strategic plan implementation,RAMSAR_OG4.17_62,RAMSAR,1
indicator(s) related to the use of guidance and availability in various language versions,RAMSAR_OG4.14_47,RAMSAR,1
indicator(s) related to whether and how wetland conservation and wise-use issues are included formal education programmes,RAMSAR_OG4.16_59,RAMSAR,1
indicator(s) relating to (numbers of) ramsar sites at risk,RAMSAR_SG2.7_29,RAMSAR,1
indicators related to the relevant sectors especially using or linking to relevant aichi target indicators and other relevant international processes,RAMSAR_SG3.13_42,RAMSAR,1
individual deprivation measure,GA_3_97_413,IPBES,0
"information provided through the financial reporting framework, adopted by decision xii/3",GA_1_52_19,IPBES,0
inland fishery production,GA_1_52_19;GA_1_52_19,IPBES,0
installed renewable energy-generating capacity in developing countries (in watts per capita),SDG_G7.b.1_99;SDG_G12.a.1_172;IPBES_SUA_sup_7.b.1_43;IPBES_SUA_sup_12.a.1_99,SDG;IPBES,1
intact wilderness,GBF_GA_CY_51;GBF_GB_CY_73,GBF,1
"integration of biodiversity into national accounting and reporting systems, defined as implementation of the system of environmental-economic accounting",GBF_GC_CY_94;SDG_G15.9.1.b_206;IPBES_SUA_sup_15.9.1.b_132,GBF;SDG;IPBES,1
integration of education for sustainable development (esd) in curricula,GEO_4_9_33,GEO,0
integration of education for sustainable development (esd) in higher education,GEO_4_9_33,GEO,0
intensity of weather,SUA_2_97_80,IPBES,0
inter-decadal pacific oscillation (ipo) index,IPCC_2_89_154,IPCC,0
inter-tropical convergence zone (itcz) narrowing,IPCC_8_39_378,IPCC,0
interannual variability of primary production (pp),IPCC_5_57_287,IPCC,0
"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",SDG_G7.a.1_98;IPBES_SUA_sup_7.a.1_42,SDG;IPBES,1
international health regulations (ihr) capacity and health emergency preparedness,SDG_G3.d.1_54,SDG,1
international migrant stock,GA_2_24_29;IPBES_GA2.1_sup_24,IPBES,0
"international public funding, including official development assistance (oda) for conservation and sustainable use of biodiversity and ecosystems",GBF_GD_H_10;GBF_T19_H_45,GBF,1
"international tourism, number of arrivals",IPBES_GA2.1_sup_36,IPBES,0
"international tourism, number of departures",IPBES_GA2.1_sup_35,IPBES,0
interventions to limit spread and reduce impact of alien species,IAS_6_97_160,IPBES,0
invasive alien species are given new names by indigenous peoples and local communities,IAS_1_53_8,IPBES,0
invasive alien species impact,IAS_6_114_165,IPBES,0
invertebrate abundance and biomass,GEO_6_16_56,GEO,0
investment costs of groundwater abstraction and desalination for continued water supply and sanitation of rapidly expanding cities,GEO_23_24_263,GEO,0
involvement of stakeholders in various aspects of wetland and/or basin-scale management,RAMSAR_SG3.9_34,RAMSAR,1
isotope-composition of molecular oxygen trapped in polar firn and ice,IPCC_2_21_41,IPCC,0
iucn green list of protected and conserved areas,GBF_T3_CY_133,GBF,1
joint scientific papers published in ocean biodiversity information system (ocean biodiversity information system (obis)) by sector,GBF_GD_CY_99,GBF,1
kelp canopy extent,GBF_GA_CY_16,GBF,1
labour share of gross domestic product,SDG_G10.4.1_132;IPBES_SUA_sup_10.4.1_73,SDG;IPBES,1
lake sediments,IPCC_9_66_448,IPCC,0
land and ocean carbon sinks,GA_2.3_42_143,IPBES,0
land cover change,GEO_6_18_58,GEO,0
land monsoon precipitation index,IPCC_4_34_236;IPCC_4_51_250,IPCC,0
land not cultivated or urban,GA_2.2_37_70;IPBES_GA2.2_sup_11,IPBES,0
land not cultivated or urban (hotspots),GA_2.2_37_70;IPBES_GA2.2_sup_12,IPBES,0
land not cultivated or urban (indigenous lands),GA_2.2_37_70;IPBES_GA2.2_sup_13,IPBES,0
land rainfall over mc,IPCC_8_46_393,IPCC,0
land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],GBF_T22_CY_262,GBF,1
land under cereal production (ha),GA_1_52_19,IPBES,0
land use change,GA_2_83_42;GEO_6_8_49,IPBES;GEO,0
land-use and management,IPCC_3_64_190,IPCC,0
land-use change,GEO_21_10_246,GEO,0
land-use co2 emissions,IPCC_4_79_266,IPCC,0
land-use models for efficient farming,GEO_17_8_200,GEO,0
land-use related non-co2 emissions,IPCC_4_79_266,IPCC,0
laws allowing building in vulnerable areas,GEO_17_8_200,GEO,0
laws preventing recycling of water,GEO_17_8_200,GEO,0
leaf area index (lai),GA_2.2_37_70;GA_2.2_40_79;IPCC_1_66_27;IPCC_2_79_128;IPCC_3_64_190;IPCC_3_65_191;IPCC_8_30_372;IPCC_8_65_401;IPCC_9_76_452;IPCC_10_31_483;IPBES_GA2.2_sup_14,IPBES;IPCC,0
leaf surface area,GA_2.3_56_155,IPBES,0
"less biomass, more annuals and shrubs on pastures",GA_2.2_65_113,IPBES,0
level of erosion,GBF_GB_CY_71,GBF,1
"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",SDG_G8.8.2_110;IPBES_SUA_sup_8.8.2_54,SDG;IPBES,1
level of water stress,GBF_T11_C_53;GEO_16_18_193,GBF;GEO,1
level of water stress (freshwater withdrawal as a proportion of available freshwater resources),GBF_GB_CY_66;SDG_G6.4.2_88;GEO_16_18_192;IPBES_SUA_sup_6.4.2_33,GBF;SDG;IPBES;GEO,1
levels of education,GEO_22_21_257,GEO,0
levels of engagement in world migratory bird day and similar events,CMS_G1.1_1,CMS,1
levels of poverty in biodiversity depended communities,GBF_GB_CY_55,GBF,1
levels of poverty in developing communities,GBF_T16_CY_219,GBF,1
life cycle impact assessment (lcia),GBF_T16_CY_218,GBF,1
life expectancy,GA_2_25_31;GEO_3_5_16,IPBES;GEO,0
life satisfaction,VA_3_41_70,IPBES,0
lightning frequency,IPCC_12_18_602,IPCC,0
linguistic diversity index,GBF_GB_CY_83;GA_2_41_36,GBF;IPBES,1
live coral cover,GBF_GA_CY_11;GA_2.2_37_70;GA_2.2_38_74;GA_2.2_91_124;IPBES_GA2.2_sup_17;IPBES_GA3_sup_36,GBF;IPBES,1
livelihood dependence,VA_3_2_52,IPBES,0
