indicators_harmonized,ga,sua,va,ias,ipbes,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
"proportion of teachers with the minimum required qualifications, by education level",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
"whether or not legal frameworks are in place to promote, enforce and monitor equality and non‑discrimination on the basis of sex",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
"proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Governance,Equity,Broken governance
"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Governance,Equity,Broken governance
proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Governance,Equity,Broken governance
"proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Governance,Equity,Broken governance
"proportion of time spent on unpaid domestic and care work, by sex, age and location",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Income,NA
proportion of women in managerial positions,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,Governance,Information on society and socio-economics,Broken governance
"proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Governance,Equity,Broken governance
"number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
"proportion of individuals who own a mobile telephone, by sex",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
proportion of population using safely managed sanitation services,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human well-being,NA,Healthy living conditions,NA
proportion of population using a hand-washing facility with soap and water,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Healthy living conditions,NA
degree of integrated water resources management,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
proportion of population with access to electricity,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,Information on society and socio-economics
proportion of population with primary reliance on clean fuels and technology,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,Information on society and socio-economics
renewable energy share in the total final energy consumption,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Ecosystem services,Infrastructure (build-up area),Nature contribution
energy intensity measured in terms of primary energy and gross domestic product,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
"international financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
installed renewable energy-generating capacity in developing countries (in watts per capita),NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Ecosystem services,Infrastructure (build-up area),Specific mention of sustainable use of species/ecosystems
annual growth rate of real gross domestic product,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Income,NA
annual growth rate of real gross domestic product per employed person,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Income,NA
"proportion of informal employment in total employment, by sector and sex",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
"material footprint, material footprint per capita, and material footprint per gross domestic product",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
"domestic material consumption, domestic material consumption, and domestic material consumption per gross domestic product",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
"average hourly earnings of employees, by sex, age, occupation and persons with disabilities",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Income,NA
"unemployment rate, by sex, age and persons with disabilities",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
"proportion of youth (aged 15-24 years) not in education, employment or training",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
"fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
"level of national compliance with labour rights (freedom of association and collective bargaining) based on international labour organization (ilo) textual sources and national legislation, by sex and migrant status",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
tourism direct gross domestic product as a proportion of total gross domestic product and in growth rate,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
"number of commercial bank branches per 100,000 adults",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
"number of automated teller machines (atms) per 100,000 adults",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
aid for trade commitments and disbursements,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based funding,NA
"existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
proportion of the rural population who live within 2 km of an all-season road,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
"passenger and freight volumes, by mode of transport",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
manufacturing value added as a proportion of gross domestic product and per capita,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
manufacturing employment as a proportion of total employment,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Coverage of basic needs,NA
proportion of small-scale industries in total industry value added,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
proportion of small-scale industries with a loan or line of credit,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),Income
research and development expenditure as a proportion of gross domestic product,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
researchers (in full-time equivalent) per million inhabitants,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
total official international support (official development assistance plus other official flows) to infrastructure,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),Information on society and socio-economics
proportion of medium and high-tech industry value added in total value added,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
"proportion of population covered by a mobile network, by technology",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
"proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Governance,Equity,Broken governance
labour share of gross domestic product,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Income,NA
redistributive impact of fiscal policy,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Income,Legislation/governance
financial soundness indicators,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
proportion of members and voting rights of developing countries in international organizations,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,Income
"number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
number of people who died or disappeared in the process of migration towards an international destination,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Broken governance,NA
"proportion of the population who are refugees, by country of origin",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
"total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,National/international cooperation,NA
remittance costs as a proportion of the amount remitted,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Income,State of economy
"proportion of urban population living in slums, informal settlements or inadequate housing",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Coverage of basic needs,Broken governance
"proportion of population that has convenient access to public transport, by sex, age and persons with disabilities",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),Coverage of basic needs
ratio of land consumption rate to population growth rate,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Ecosystem services,Human assets,Nature contribution,Coverage of basic needs
proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Human well-being,Infrastructure (build-up area),Equity
"total per capita expenditure on the preservation, protection and conservation of all cultural and natural heritage, by source of funding (public, private), type of heritage (cultural, natural) and level of government (national, regional, and local/municipal)",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,Information on society and socio-economics
damage to critical infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Knowledge systems,Infrastructure (build-up area),Information on society and socio-economics
"number of disruptions to basic services, attributed to disasters",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
"proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
"average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Infrastructure (build-up area),NA
"proportion of persons victim of physical or sexual harassment, by sex, age, disability status and place of occurrence, in the previous 12 months",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Broken governance,NA
number of countries that have national urban policies or regional development plans that respond to population dynamics,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
number of countries that have national urban policies or regional development plans that ensure balanced territorial development,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
number of countries that have national urban policies or regional development plans that increase local fiscal space,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
"number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
food loss index,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
"number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
hazardous waste generated per capita,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
"proportion of hazardous waste treated, by type of treatment",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Pollution,NA
"national recycling rate, tons of material recycled",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
number of countries implementing sustainable public procurement policies and action plans,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
"number of countries with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
total greenhouse gas emissions per year,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Direct drivers,NA,Climate change,NA
amounts provided and mobilized in united states dollars per year in relation to the continued existing collective mobilization goal of the $100 billion commitment through to 2025,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
number of countries using ecosystem-based approaches to managing marine areas,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
average marine acidity (ph) measured at agreed suite of representative sampling stations,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,Direct drivers,State of ecosystems (marine),Climate change
coverage of protected areas in relation to marine areas,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,Area conservation,NA
"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Ecosystem services,Governance,Specific monetary valuation of nature contribution,Nature-based legislation
degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
"number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in the united nations convention on the law of the sea, for the conservation and sustainable use of the oceans and their resources",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,ecosystems,NA,Area conservation,NA
coverage by protected areas of important sites for mountain biodiversity,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,ecosystems,NA,Area conservation,NA
proportion of traded wildlife that was poached or illicitly trafficked,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,Governance,NA,Nature-based legislation,NA
number of countries that have established national targets in accordance with or similar to aichi biodiversity target 2 of the strategic plan for biodiversity 2011-2020 in their national biodiversity strategy and action plans and the progress reported towards these targets,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
official development assistance on conservation and sustainable use of biodiversity,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
revenue generated and finance mobilized from biodiversity-relevant economic instruments,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Nature-based legislation,NA
"number of victims of intentional homicide per 100,000 population, by sex and age",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Information on society and socio-economics,Broken governance
"conflict-related deaths per 100,000 population, by sex, age and cause",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of population subjected to physical violence in the previous 12 months,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of population subjected to psychological violence in the previous 12 months,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of population subjected to sexual violence in the previous 12 months,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of population that feel safe walking alone around the area they live after dark,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Knowledge systems,Equity,Information on society and socio-economics
proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Information on society and socio-economics,Broken governance
"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Information on society and socio-economics,Broken governance
proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,Governance,Wellness,Broken governance
unsentenced detainees as a proportion of overall prison population,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,Knowledge systems,Broken governance,Information on society and socio-economics
"proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,Governance,Information on society and socio-economics,Legislation/governance
total value of inward and outward illicit financial flows (in current united states dollars),NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,State of economy,Broken governance
"proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,Legislation/governance,NA
"proportion of persons who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by those public officials, during the previous 12 months",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Human well-being,Information on society and socio-economics,Wellness
"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Information on society and socio-economics,Broken governance
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,State of economy,Legislation/governance
proportion of population satisfied with their last experience of public services,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Knowledge systems,Information on society and socio-economics,Information on society and socio-economics
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,Governance,Information on society and socio-economics,Broken governance
"number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
existence of independent national human rights institutions in compliance with the paris principles,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human well-being,NA,Equity,NA
"total government revenue as a proportion of gross domestic product, by source",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Information on society and socio-economics,NA
proportion of domestic budget funded by domestic taxes,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
"net official development assistance, total and to least developed countries, as a proportion of the organization for economic cooperation and development (oecd) development assistance committee donors’ gross national income (gni)",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,National/international cooperation,NA
additional financial resources mobilized for developing countries from multiple sources,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Information on society and socio-economics,NA
volume of remittances (in united states dollars) as a proportion of total gross domestic product,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,Information on society and socio-economics,NA
debt service as a proportion of exports of goods and services,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Human assets,NA,State of economy,NA
"number of countries that adopt and implement investment promotion regimes for developing countries, including the least developed countries",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Governance,NA,National/international cooperation,NA
"fixed internet broadband subscriptions per 100 inhabitants, by speed6",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,Knowledge systems,NA,Information on society and socio-economics,NA
